Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"Commission on Ecology, IUCN Secretariat, 1110 Morges, Switzerland.",,10.1017/S0376892900001983,http://dx.doi.org/10.1017/S0376892900001983,"Regional Meeting on Marine Parks and Reserves in the Northern Indian Ocean, including the Red Sea and the Persian Gulf, held in Tehran, Iran, 6–10 March 1975",Mona I. Björklund,1975,Environmental Conservation,"aff1 /// Commission on Ecology ///  /// ,  /// IUCN Secretariat ///  /// ,  /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Avenue du Mont Blanc, 1196 Gland, Switzerland.",,10.1017/S0376892900007499,http://dx.doi.org/10.1017/S0376892900007499,Major Conservation Research Centre for China,World Wildlife Fund,1980,Environmental Conservation,"aff1 /// Avenue du Mont Blanc ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"World Wildlife Fund International, 1110 Morges, Switzerland.",,10.1017/S0376892900002988,http://dx.doi.org/10.1017/S0376892900002988,IUCN/WWF Concern Over Seal Harvests,David Mitchell,1979,Environmental Conservation,"aff1 /// World Wildlife Fund International ///  /// ,  /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Palais des Nations, 1211 Geneva 10, Switzerland.",,10.1017/S0376892900003027,http://dx.doi.org/10.1017/S0376892900003027,Use of Aviation in Agriculture and Protection of the Environment,United Nations Information Service,1979,Environmental Conservation,"aff1 /// Palais des Nations ///  /// ,  /// 1211 Geneva 10 ///  /// ,  /// Switzerland ///  /// ."
"PO Box 2300, 1211 Geneva 2, Switzerland.",,10.1017/S0376892900023134,http://dx.doi.org/10.1017/S0376892900023134,Ozone Depletion Over Antarctica Returns,"Information and Public Affairs Office, World Meteorological Organization",1993,Environmental Conservation,"aff1 /// PO Box 2300 ///  /// ,  /// 1211 Geneva 2 ///  /// ,  /// Switzerland ///  /// ."
"Avenue Appia 20, 1211 Geneva 27, Switzerland.",,10.1017/S0376892900036869,http://dx.doi.org/10.1017/S0376892900036869,First Human Trial of Synthetic Birth-control Vaccine Begun in Australia,World Health Organization,1986,Environmental Conservation,"aff1 /// Avenue Appia 20 ///  /// ,  /// 1211 Geneva 27 ///  /// ,  /// Switzerland ///  /// ."
"IUCN, Avenue du Mont Blanc, 1196 Gland, Switzerland.",,10.1017/S0376892900003593,http://dx.doi.org/10.1017/S0376892900003593,"Conference to Conclude a Convention on the Conservation of Migratory Species of Wild Animals, held in Bonn, West Germany, during 11–23 June 1979",Patrick Allen,1979,Environmental Conservation,"aff1 /// IUCN ///  /// ,  /// Avenue du Mont Blanc ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"GIPRI, 41 rue de Zurich, 1201 Geneva, Switzerland.",,10.1017/S0376892900014041,http://dx.doi.org/10.1017/S0376892900014041,"Geneva International Peace Research Institute (GIPRI) Colloquium on ‘Nuclear Arms and International Law’, held during 1–3 February 1984 in Geneva, Switzerland",Alexandre Berenstein /// Zidane Meriboute,1984,Environmental Conservation,"aff1 /// GIPRI ///  /// ,  /// 41 rue de Zurich ///  /// ,  /// 1201 Geneva ///  /// ,  /// Switzerland ///  /// ."
"Avenue Giuseppe Motta, 1211 Geneva 20, Switzerland.",,10.1017/S0376892900020105,http://dx.doi.org/10.1017/S0376892900020105,‘ALPEX’ Completed as Part of GARP,World Meteorological Organization,1982,Environmental Conservation,"aff1 /// Avenue Giuseppe Motta ///  /// ,  /// 1211 Geneva 20 ///  /// ,  /// Switzerland ///  /// ."
"Avenue Giuseppe Motta 41, 1211 Geneva 20, Switzerland.",,10.1017/S0376892900002277,http://dx.doi.org/10.1017/S0376892900002277,On the Second WMO Statement on Modification of the Ozone Layer due to Man's Activities,World Meteorological Organization,1979,Environmental Conservation,"aff1 /// Avenue Giuseppe Motta 41 ///  /// ,  /// 1211 Geneva 20 ///  /// ,  /// Switzerland ///  /// ."
"63 Route de la Chapelle, 1212 Geneva, Switzerland.",,10.1017/S0376892900021056,http://dx.doi.org/10.1017/S0376892900021056,"Ad hoc Working Group of Legal and Technical Experts for the Elaboration of a Global Framework Convention for the Protection of the Ozone Layer, held at the Swedish Ministry for Agriculture and the Environment, Stockholm, Sweden, during 20–28 January 1982",Rumen D. Bojkov,1982,Environmental Conservation,"aff1 /// 63 Route de la Chapelle ///  /// ,  /// 1212 Geneva ///  /// ,  /// Switzerland ///  /// ."
"Director of Information, WWF International, 1110 Morges, Switzerland.",,10.1017/S0376892900003982,http://dx.doi.org/10.1017/S0376892900003982,"‘The World We Live In’: Third International Congress of the World Wildlife Fund, held in the Beethovenhalle, Bonn, West Germany, 5 October 1973",Peter F. R. Jackson,1974,Environmental Conservation,"aff1 /// Director of Information,  /// WWF International ///  /// ,  /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"41 chemin du Vallon, Chêne-Bougeries1224 Genève, Switzerland.",,10.1017/S0376892900038121,http://dx.doi.org/10.1017/S0376892900038121,Environmental Conservation: How to Contribute,Roger de Candolle,1978,Environmental Conservation,"aff1 /// 41 chemin du Vallon ///  /// ,  /// Chêne-Bougeries ///  /// 1224 Genève ///  /// ,  /// Switzerland ///  /// ."
"Veterinary Physiology, Vetsuisse Faculty, University of Bern, Bern, Switzerland",University of Bern,10.1017/S0022029910000348,http://dx.doi.org/10.1017/S0022029910000348,Immune response of bovine milk somatic cells to endotoxin in healthy quarters with normal and very low cell counts,Olga Wellnitz /// Amandine Baumert /// Machabbat Saudenowa /// Rupert M Bruckmaier,2010,Journal of Dairy Research,"aff001 /// Veterinary Physiology, Vetsuisse Faculty ///  /// ,  /// University of Bern ///  /// ,  /// Bern ///  /// ,  /// Switzerland /// "
"27, im Lee CH 4144 Arlesheim, Switzerland",,10.1017/S0017089500006042,http://dx.doi.org/10.1017/S0017089500006042,The quadratic reciprocity law and the elementary theta function,Martin Eichler,1985,Glasgow Mathematical Journal,"aff1 /// 27 ///  /// ,  /// im Lee CH 4144 Arlesheim ///  /// ,  /// Switzerland /// "
"Forschungsinstitut für Mathematik, ETH-Zentrum, CH-8092 Zürich, Switzerland",ETH Zurich,10.1112/S0025579300012377,http://dx.doi.org/10.1112/S0025579300012377,The square mean of Dirichlet series associated with cusp forms,Anton Good,1982,Mathematika,"aff1 /// Forschungsinstitut für Mathematik ///  /// ,  /// ETH-Zentrum ///  /// ,  /// CH-8092 Zürich ///  /// ,  /// Switzerland /// "
"25 Quai des Bergues, 1201 Geneva, Switzerland",,10.1017/S1368980008003959,http://dx.doi.org/10.1017/S1368980008003959,Can anthropometry measure gender discrimination? An analysis using WHO standards to assess the growth of Bangladeshi children,Helen Moestue,2009,Public Health Nutrition,"aff1 /// 25 Quai des Bergues ///  /// ,  /// 1201 Geneva ///  /// ,  /// Switzerland /// "
"Interstate University of Applied Sciences, Buchs, Switzerland",,10.1154/1.3176001,http://dx.doi.org/10.1154/1.3176001,D-59 Spatially Resolved Determination of Stress in Thin Films and Devices from Curvature Measurements,N. Herres,2009,Powder Diffraction,"aff1 /// Interstate University of Applied Sciences, Buchs, Switzerland /// "
"Natur-Museum Luzern, Kasernenplatz 6, CH-6003 Luzern, Switzerland.",,10.1017/S0024282999000092,http://dx.doi.org/10.1017/S0024282999000092,How Agriculture Affects Lichen Vegetation in Central Switzerland,Engelbert Ruoss,1999,The Lichenologist,"aff1 /// * ///  /// Natur-Museum Luzern ///  /// ,  /// Kasernenplatz 6 ///  /// ,  /// CH-6003 Luzern ///  /// ,  /// Switzerland ///  /// ."
"(9 avenue Davel, CH–1004 Lausanne, Switzerland)",,10.1017/S0028688500022815,http://dx.doi.org/10.1017/S0028688500022815,La Mort d' Ananias et Saphira (Ac 5.1–11) dans la stratégie narrative de Luc,Daniel Marguerat,1993,New Testament Studies,"aff1 /// ( /// 9 avenue Davel ///  /// ,  /// CH–1004 Lausanne ///  /// ,  /// Switzerland ///  /// )"
"Faculté des Letires, University of Geneva, Switzerland",University of Geneva,10.1017/S0033291700052776,http://dx.doi.org/10.1017/S0033291700052776,Chlorosis – the ‘green sickness’,Jean Starobinski,1981,Psychological Medicine,"aff1 /// Faculté des Letires ///  /// ,  /// University of Geneva ///  /// ,  /// Switzerland /// "
"Graduate Institute of International Studies, Geneva, Switzerland",,10.2307/1946761,http://dx.doi.org/10.2307/1946761,,William E. Rappard,1930,American Political Science Review,"aff1 /// Graduate Institute of International Studies ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"Executive Director, Advisory Centre on WTO Law, Geneva, Switzerland",,10.1017/S1474745608004163,http://dx.doi.org/10.1017/S1474745608004163,,FRIEDER ROESSLER,2009,World Trade Review,"aff001 /// Executive Director ///  /// ,  /// Advisory Centre on WTO Law ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"Center for Comparative and International Studies, ETH Zurich, Switzerland",ETH Zurich,10.1017/S1755773910000068,http://dx.doi.org/10.1017/S1755773910000068,The normative origins of democracy in the European Union: toward a transformationalist theory of democratization,Frank Schimmelfennig,2010,European Political Science Review,"aff1 /// Center for Comparative and International Studies ///  /// ,  /// ETH Zurich ///  /// ,  /// Switzerland /// "
"15 Chemin F.-Lehmann, 1218 Grand-Saconnex, Geneva, Switzerland.",,10.1017/S037689290000518X,http://dx.doi.org/10.1017/S037689290000518X,Suggestion of an Award for the Best Contribution Each Year to ,Nicholas Polunin,1978,Environmental Conservation,"aff1 /// 15 Chemin F.-Lehmann ///  /// ,  /// 1218 Grand-Saconnex ///  /// ,  /// Geneva ///  /// ,  /// Switzerland ///  /// ."
"Avenue du Mont-Blanc, 1196 Gland, Switzerland.",,10.1017/S0376892900027168,http://dx.doi.org/10.1017/S0376892900027168,Statement of WWF's Position on Harp and Hooded Seal Harvests,World Wildlife Fund International,1981,Environmental Conservation,"aff1 /// Avenue du Mont-Blanc ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"Avenue du Mont-Blanc, 1196 Gland, Switzerland.",,10.1017/S0376892900027260,http://dx.doi.org/10.1017/S0376892900027260,World Wildlife Fund Celebrates Twentieth Anniversary,World Wildlife Fund International,1981,Environmental Conservation,"aff1 /// Avenue du Mont-Blanc ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"Director of Information, World Wildlife Fund, 1110 Morges, Switzerland.",,10.1017/S0376892900025133,http://dx.doi.org/10.1017/S0376892900025133,"The World Wildlife Fund's Fourth International Congress, on ‘the Fragile Earth: Towards Strategies for Survival’, held at the St Francis Hotel, San Francisco, California, 28 November–1 December 1976",Peter F. R. Jackson,1977,Environmental Conservation,"aff1 /// Director of Information ///  /// ,  /// World Wildlife Fund ///  /// ,  /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"World Health Organization, Avenue Appia, 1211 Geneva 27, Switzerland.",,10.1017/S0376892900034573,http://dx.doi.org/10.1017/S0376892900034573,Food Safety: A World-wide Public Health Problem,WHO Media Service,1985,Environmental Conservation,"aff1 /// World Health Organization ///  /// ,  /// Avenue Appia ///  /// ,  /// 1211 Geneva 27 ///  /// ,  /// Switzerland ///  /// ."
"Mathematikdepartement, ETH Zentrum, CH-8092 Zürich, Switzerland",ETH Zurich,10.1017/S0143385700006775,http://dx.doi.org/10.1017/S0143385700006775,"Positive Lyapunov exponents for a dense set of bounded measurable (2, )-cocycles",Oliver Knill,1992,Ergodic Theory and Dynamical Systems,"aff1 /// Mathematikdepartement ///  /// ,  /// ETH Zentrum ///  /// ,  /// CH-8092 Zürich ///  /// ,  /// Switzerland /// "
"Alan Bruce Thompson. Erdwissenschaften. ETH Zurich. CH-8092., Switzerland",ETH Zurich,10.1017/S0263593300006428,http://dx.doi.org/10.1017/S0263593300006428,Fertility of crustal rocks during anatexis,Alan Bruce Thompson,1996,Transactions of the Royal Society of Edinburgh: Earth Sciences,"aff1 /// Alan Bruce Thompson. Erdwissenschaften. ETH Zurich. CH-8092. ///  /// ,  /// Switzerland /// "
"Département de Mathématiques, Ecole Polytechnique Féderale, 1015 Lausanne, Switzerland",EPFL,10.1017/S0308210500029322,http://dx.doi.org/10.1017/S0308210500029322,Convexity of certain integrals of the calculus of variations,B. Dacorogna,1987,Proceedings of the Royal Society of Edinburgh: Section A Mathematics,"aff1 /// Département de Mathématiques ///  /// ,  /// Ecole Polytechnique Féderale ///  /// ,  /// 1015 Lausanne ///  /// ,  /// Switzerland /// "
"Division of Mental Health, World Health Organization, Geneva, Switzerland",,10.1017/S003329170001120X,http://dx.doi.org/10.1017/S003329170001120X,Recent research activities in WHO's mental health programme,N. Sartorius,1989,Psychological Medicine,"aff1 /// Division of Mental Health ///  /// ,  /// World Health Organization ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"Faculté des Lettres, Université de Genéve, Switzerland",University of Geneva,10.1017/S0033291700013209,http://dx.doi.org/10.1017/S0033291700013209,A short history of bodily sensation,Jean Starobinski,1990,Psychological Medicine,"aff1 /// Faculté des Lettres ///  /// ,  /// Université de Genéve ///  /// ,  /// Switzerland /// "
"Vitamin Department, F. Hoffmann-La Roche & Co. A.G., Switzerland",,10.1079/WPS19620029,http://dx.doi.org/10.1079/WPS19620029,"Vitamin Supply and Its Influence on the Resistance of Poultry to Infectious Diseases, Parasite Infestation, and Other Stresses.",F. J. Tagwerker,1962,World's Poultry Science Journal,"aff1 /// Vitamin Department ///  /// ,  /// F. Hoffmann-La Roche & Co. A.G. ///  /// ,  /// Switzerland /// "
"Museum of Natural History, CH 4001 Basel, Switzerland",,10.1017/S0022336000039627,http://dx.doi.org/10.1017/S0022336000039627,Archaiasinids and related porcelaneous larger foraminifera from the late Miocene of the Dominican Republic,Lukas Hottinger,2001,Journal of Paleontology,"aff1 /// Museum of Natural History, CH 4001 Basel, Switzerland"
"IBM Research Division, Zurich Research Laboratory, 8803 Rüschlikon, Switzerland",,10.1557/JMR.1993.1373,http://dx.doi.org/10.1557/JMR.1993.1373,Domain growth of DyO buffer layers on SrTiO,A. Catana /// J-P. Locquet,1993,Journal of Materials Research,"A1 /// IBM Research Division, Zurich Research Laboratory, 8803 Rüschlikon, Switzerland /// "
"Department of Otorhinolaryngology, Ramistrasse 100, Zurich, Switzerland.",,10.1017/S0022215100068274,http://dx.doi.org/10.1017/S0022215100068274,Societies' Proceedings,L. Rüedi,1967,The Journal of Laryngology & Otology,"aff1 /// Department of Otorhinolaryngology ///  /// ,  /// Ramistrasse 100 ///  /// ,  /// Zurich ///  /// ,  /// Switzerland ///  /// ."
"Section de Mathématiques, Université de Genève, Switzerland",University of Geneva,10.1017/S0305004100063301,http://dx.doi.org/10.1017/S0305004100063301,Cancellation of hyperbolic ε-hermitian forms and of simple knots,Eva Bayer-Fluckiger,1985,Mathematical Proceedings of the Cambridge Philosophical Society,"aff1 /// Section de Mathématiques ///  /// ,  /// simple /// Université de Genève ///  /// ,  /// Switzerland /// "
"Interdisciplinary Research Centre for Public Health, St. Gallen, Switzerland",,10.1017/S0266462300000507,http://dx.doi.org/10.1017/S0266462300000507,Prologue,Bruno Horisberger,1987,International Journal of Technology Assessment in Health Care,"aff1 /// Interdisciplinary Research Centre for Public Health ///  /// ,  /// St. Gallen ///  /// ,  /// Switzerland /// "
"Department of Pharmacy and Laboratory, Hospital of Schaffhausen, Switzerland",,10.1086/647893,http://dx.doi.org/10.1086/647893,Use of Amoxicillin-Clavulanate and Resistance in  Over a 4-Year Period,Stephanie Natsch /// Christian Conrad /// Cora Hartmeier /// Beat Schmid,1998,Infection Control & Hospital Epidemiology,"aff1 /// Clinical Pharmacy ///  /// ,  /// Hospital of Schaffhausen ///  /// ,  /// Switzerland ///  /// aff2 /// Department of Infection Control ///  /// ,  /// Hospital of Schaffhausen ///  /// ,  /// Switzerland ///  /// aff3 /// Hospital Pharmacy ///  /// ,  /// Hospital of Schaffhausen ///  /// ,  /// Switzerland ///  /// aff4 /// Department of Pharmacy and Laboratory ///  /// ,  /// Hospital of Schaffhausen ///  /// ,  /// Switzerland /// "
"Institute of Anatomy, University of Lausanne, 1011 Lausanne, Switzerland",University of Lausanne,10.1017/S0140525X00018501,http://dx.doi.org/10.1017/S0140525X00018501,On evolution by loss of exuberancy,G. M. Innocenti,1984,Behavioral and Brain Sciences,"aff1 /// Institute of Anatomy ///  /// ,  /// University of Lausanne ///  /// ,  /// 1011 Lausanne ///  /// ,  /// Switzerland /// "
"World Health Organization, 1211 Geneva 27, Switzerland",,10.1017/S0140525X00022858,http://dx.doi.org/10.1017/S0140525X00022858,Conditionality of heart rate responses in healthy subjects and patients with ischemic heart disease,Danguole M. Žemaitytė,1986,Behavioral and Brain Sciences,"aff1 /// World Health Organization ///  /// ,  /// 1211 Geneva 27 ///  /// ,  /// Switzerland /// "
"Institut de Physiologie, Université de Fribourg, 1700 Fribourg, Switzerland",University of Fribourg,10.1017/S0140525X00045313,http://dx.doi.org/10.1017/S0140525X00045313,The SMA: A “supplementary motor” or a “supramotor” area?,Mario Wiesendanger,1985,Behavioral and Brain Sciences,"aff1 /// Institut de Physiologie ///  /// ,  /// Université de Fribourg ///  /// ,  /// 1700 Fribourg ///  /// ,  /// Switzerland /// "
"Neurology Department, University Hospital, 8091 Zürich, Switzerland",University of Zurich,10.1017/S0140525X00045416,http://dx.doi.org/10.1017/S0140525X00045416,"The case for applied history of medicine, and the place of Wigan",H. Isler /// M. Regard,1985,Behavioral and Brain Sciences,"aff1 /// Neurology Department ///  /// ,  /// University Hospital ///  /// ,  /// 8091 Zürich ///  /// ,  /// Switzerland /// "
"Institute of Sociology, University of Zurich, Zurich, Switzerland.",University of Zurich,10.1017/S0144686X09990316,http://dx.doi.org/10.1017/S0144686X09990316,"State care provision, societal opinion and children's care of older parents in 11 European countries",KLAUS HABERKERN /// MARC SZYDLIK,2010,Ageing and Society,"aff001 /// * ///  /// Institute of Sociology ///  /// ,  /// University of Zurich ///  /// ,  /// Zurich ///  /// ,  /// Switzerland ///  /// ."
"Institut d'Anatomie, Université de Lausanne, 1005 Lausanne, Switzerland",University of Lausanne,10.1017/S0140525X00052882,http://dx.doi.org/10.1017/S0140525X00052882,Developmental axes and evolutionary trees,G. M. Innocenti,1988,Behavioral and Brain Sciences,"aff1 /// Institut d'Anatomie ///  /// ,  /// Université de Lausanne ///  /// ,  /// 1005 Lausanne ///  /// ,  /// Switzerland /// "
"Department of French, University of Geneva, 1205 Geneva, Switzerland",University of Geneva,10.1017/S0140525X00055539,http://dx.doi.org/10.1017/S0140525X00055539,The relevance of Relevance for fiction,Anne Reboul,1987,Behavioral and Brain Sciences,"aff1 /// Department of French ///  /// ,  /// University of Geneva ///  /// ,  /// 1205 Geneva ///  /// ,  /// Switzerland /// "
"Department of Ophthalmology, University of Geneva, Switzerland",University of Geneva,10.1017/S1120962300023969,http://dx.doi.org/10.1017/S1120962300023969,Age of Onset and Evolution of Fabry's Disease,Albert Th. Franceschetti,1974,Acta geneticae medicae et gemellologiae,"aff1 /// Department of Ophthalmology ///  /// ,  /// University of Geneva ///  /// ,  /// Switzerland /// "
"9, chemin de la Côte, 1680 Romont, Switzerland",,10.1017/S0362502800005241,http://dx.doi.org/10.1017/S0362502800005241,"The Wide Scope of Tao 盜 ‘Theft,” in Ch'in-Han Law",A. F. P. Hulsewé,1988,Early China,"aff1 /// 9 ///  /// ,  /// chemin de la Côte ///  /// ,  /// 1680 Romont ///  /// ,  /// Switzerland /// "
"NESTEC LTD, Nestlé Research Department, CH-1800 Vevey, Switzerland",,10.1017/S0022029900024870,http://dx.doi.org/10.1017/S0022029900024870,An empirical mathematical model of retentate composition in ultrafiltration of dairy products,Olivier De Rham /// Serge Chanton,1986,Journal of Dairy Research,"aff1 /// NESTEC LTD ///  /// ,  /// Nestlé Research Department ///  /// ,  /// CH-1800 Vevey ///  /// ,  /// Switzerland /// "
"World Health Organization, Avenue Appia, 1211 Geneva 27, Switzerland.",,10.1017/S0376892900026618,http://dx.doi.org/10.1017/S0376892900026618,Rabies in Man's Environment,Division of Public Information,1981,Environmental Conservation,"aff1 /// World Health Organization ///  /// ,  /// Avenue Appia ///  /// ,  /// 1211 Geneva 27 ///  /// ,  /// Switzerland ///  /// ."
"I.U.C.N., Avenue du Mont-Blanc, 1196 Gland, Switzerland.",,10.1017/S0376892900027338,http://dx.doi.org/10.1017/S0376892900027338,"Meeting of the Contracting Parties to the Convention on the Conservation of Wetlands of International Importance, Especially as Water-Fowl Habitat: Held at Cagliari, Sardinia, Italy. 24–29 November 1980",Adrian Phillips,1981,Environmental Conservation,"aff1 /// I.U.C.N. ///  /// ,  /// Avenue du Mont-Blanc ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"Palais des Nations, 1211 Geneva 10, Switzerland.",,10.1017/S0376892900028113,http://dx.doi.org/10.1017/S0376892900028113,Call for Prevention of Water Pollution from Animal Production,United Nations Information Service,1981,Environmental Conservation,"aff1 /// Palais des Nations ///  /// ,  /// 1211 Geneva 10 ///  /// ,  /// Switzerland ///  /// ."
"1 Pré-de-la-Bichette, 1202 Geneva, Switzerland.",,10.1017/S0376892900010110,http://dx.doi.org/10.1017/S0376892900010110,Guest Comment: Canada—EU Reach Agreement to Conserve and Protect Straddling Stocks,Canadian Mission to the United Nations in Geneva,1995,Environmental Conservation,"aff1 /// 1 Pré-de-la-Bichette ///  /// ,  /// 1202 Geneva ///  /// ,  /// Switzerland ///  /// ."
"15 chemin de Roches, 1208 Geneva, Switzerland.",,10.1017/S0376892900004835,http://dx.doi.org/10.1017/S0376892900004835,Nuclear Power-stations in Switzerland,Georges Karl,1974,Environmental Conservation,"aff1 /// 15 chemin de Roches ///  /// ,  /// 1208 Geneva ///  /// ,  /// Switzerland ///  /// ."
"Forschungsinstitut für Mathematik, ETH-Zentrum, CH-8092 Zürich, Switzerland",ETH Zurich,10.1017/S0143385700009457,http://dx.doi.org/10.1017/S0143385700009457,A stability theorem for minimal foliations on a torus,Jürgen Moser,1988,Ergodic Theory and Dynamical Systems,"aff1 /// Forschungsinstitut für Mathematik ///  /// ,  /// ETH-Zentrum ///  /// ,  /// CH-8092 Zürich ///  /// ,  /// Switzerland /// "
"Swiss School of Poultry Husbandry, Zollikofen, Switzerland",,10.1079/WPS19660023,http://dx.doi.org/10.1079/WPS19660023,Gene Conservation,Martin Menzi,1966,World's Poultry Science Journal,"aff1 /// simple /// Swiss School of Poultry Husbandry ///  /// ,  /// Zollikofen ///  /// ,  /// Switzerland /// "
"F. Hoffmann—La Roche & Co. Ltd, 4002-Basle, Switzerland",,10.1079/PNS19790018,http://dx.doi.org/10.1079/PNS19790018,Inactivation of Vitamins,H. Kläui,1979,Proceedings of the Nutrition Society,"aff1 /// F. Hoffmann—La Roche & Co. Ltd ///  /// ,  /// 4002-Basle ///  /// ,  /// Switzerland /// "
"8 Rue des Belles Filles, 1299 Crans, Switzerland",,10.1017/S0032247400020349,http://dx.doi.org/10.1017/S0032247400020349,Netherlands scientific research in Antarctica,Dennis Thompson,1992,Polar Record,"aff1 /// 8 Rue des Belles Filles ///  /// ,  /// 1299 Crans ///  /// ,  /// Switzerland /// "
"Professor of Law, University of Zürich, Switzerland.",University of Zurich,10.1017/S0940739197000362,http://dx.doi.org/10.1017/S0940739197000362,The Protection of Cultural Heritage and International Commerce,Kurt Siehr,1997,International Journal of Cultural Property,"aff1 /// * ///  /// Professor of Law,  /// simple /// University of Zürich ///  /// ,  /// Switzerland ///  /// ."
"Swiss Tropical Institute, Socinstrasse 57, CH-4051, Basel, Switzerland",,10.1017/S1742758400009358,http://dx.doi.org/10.1017/S1742758400009358,Environmental management for the control of parasitic protozoan diseases,Thierry A. Freyvogel,1986,International Journal of Tropical Insect Science,"aff1 /// Swiss Tropical Institute ///  /// ,  /// Socinstrasse 57 ///  /// ,  /// CH-4051 ///  /// ,  /// Basel ///  /// ,  /// Switzerland /// "
"International Space Science Institute, Hallerstrasse 6, 3012 Bern, Switzerland",,10.1017/S1743921309029020,http://dx.doi.org/10.1017/S1743921309029020,Next 50 years of space research,R.-M. Bonnet,2008,Proceedings of the International Astronomical Union,"aff001 /// International Space Science Institute ///  /// ,  /// Hallerstrasse 6 ///  /// ,  /// 3012 Bern ///  /// ,  /// Switzerland /// "
"University Central Laboratory, Kantonsspital, Petersgraben, Basel, Switzerland",University of Basel,10.1017/S0195941700058768,http://dx.doi.org/10.1017/S0195941700058768,Rationale and Testing of Degerming Procedures,Hans Reber,1984,Infection Control,"aff1 /// University Central Laboratory ///  /// ,  /// Kantonsspital ///  /// ,  /// Petersgraben ///  /// ,  /// Basel ///  /// ,  /// Switzerland /// "
"Graduate Institute of International Studies, Geneva, Switzerland",,10.1017/S0165115300019252,http://dx.doi.org/10.1017/S0165115300019252,,Gopalan Balachandran,2004,Itinerario,"aff1 /// Graduate Institute of International Studies ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"Avenue du Mont-Blanc, CH-1196 Gland, Switzerland.",,10.1017/S0376892900009012,http://dx.doi.org/10.1017/S0376892900009012,Goals and Objectives for World Conservation,IUCN Secretariat,1989,Environmental Conservation,"aff1 /// Avenue du Mont-Blanc ///  /// ,  /// CH-1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"Global Harmony Foundation, Rötiquai 16, 4502 Solothurn, Switzerland.",,10.1017/S0376892900022256,http://dx.doi.org/10.1017/S0376892900022256,The Global Harmony Foundation,Naseeb H. Dajani,1991,Environmental Conservation,"aff1 /// Global Harmony Foundation ///  /// ,  /// Rötiquai 16 ///  /// ,  /// 4502 Solothurn ///  /// ,  /// Switzerland ///  /// ."
"Avenue de Budé 19, 1201 Geneva, Switzerland.",,10.1017/S0376892900009851,http://dx.doi.org/10.1017/S0376892900009851,Cities in Distress: WHO Sounds the Alarm,Paul Evan Ress,1989,Environmental Conservation,"aff1 /// Avenue de Budé 19 ///  /// ,  /// 1201 Geneva ///  /// ,  /// Switzerland ///  /// ."
"CITES Secretariat, World Conservation Centre CH-1196 Gland, Switzerland.",,10.1017/S0376892900012431,http://dx.doi.org/10.1017/S0376892900012431,"Fourth Meeting of the Conference of the Parties to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), held in Gaborone, Botswana, from 19 to 30 April 1983",Jaques Berney,1983,Environmental Conservation,"aff1 /// CITES Secretariat ///  /// ,  /// World Conservation Centre CH-1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"41 Chemin du Vallon, Chêne-Bougeries, 1224 Geneva, Switzerland.",,10.1017/S0376892900019354,http://dx.doi.org/10.1017/S0376892900019354,Towards a Universal Declaration of Respect for Nature and the Biosphere,Roger de Candolle,1982,Environmental Conservation,"aff1 /// 41 Chemin du Vallon ///  /// ,  /// Chêne-Bougeries ///  /// ,  /// 1224 Geneva ///  /// ,  /// Switzerland ///  /// ."
"Chemin des Bosquets, 1297 Founex, Vaud, Switzerland.",,10.1017/S0376892900036870,http://dx.doi.org/10.1017/S0376892900036870,IUCN–CEP's European Committee for National Conservation Strategies,Max Börlin,1986,Environmental Conservation,"aff1 /// Chemin des Bosquets ///  /// ,  /// 1297 Founex ///  /// ,  /// Vaud ///  /// ,  /// Switzerland ///  /// ."
"Office of the Director-General, IUCN, 1196 Gland, Switzerland.",,10.1017/S0376892900003337,http://dx.doi.org/10.1017/S0376892900003337,Thoughts about the International Whaling Commission after its Thirty-first Annual Meeting,Anthony J. Mence,1979,Environmental Conservation,"aff1 /// Office of the Director-General,  /// IUCN ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"Palais des Nations, 1211 Geneva 10, Switzerland.",,10.1017/S0376892900026114,http://dx.doi.org/10.1017/S0376892900026114,Long-range Air Pollution: International Monitoring Programme Launched,Economic Commission for Europe,1977,Environmental Conservation,"aff1 /// Palais des Nations ///  /// ,  /// 1211 Geneva 10 ///  /// ,  /// Switzerland ///  /// ."
