Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"Department of Neurology, Inselspital, Bern University Hospital, Bern, Switzerland",University of Bern,10.1515/CCLM.2011.189,http://dx.doi.org/10.1515/CCLM.2011.189,Monoclonal gammopathy missed by capillary zone electrophoresis,Christof Schild /// Florence Egger /// Alain Kaelin-Lang /// Jean-Marc Nuoffer,2011,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Institute of Clinical Chemistry, Inselspital, Bern University Hospital, and University of Bern, Bern, Switzerland /// aff2 /// 2 ///  /// Department of Neurology, Inselspital, Bern University Hospital, Bern, Switzerland"
"Laboratory of Applied Mechanics and Reliability Analysis, EPFL, Lausanne, Switzerland",EPFL,10.1515/hf-2012-0144,http://dx.doi.org/10.1515/hf-2012-0144,Influence of the moisture content on the fracture characteristics of welded wood joint. Part 1: Mode I fracture,Martin Rhême /// John Botsis /// Joël Cugnoni /// Parviz Navi,2013,Holzforschung,"aff1 /// 1 ///  /// Material and Wood Technologies, Bern University of Applied Science, Bienne, Switzerland /// aff2 /// 2 ///  /// Laboratory of Applied Mechanics and Reliability Analysis, EPFL, Lausanne, Switzerland"
"Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland and Department of Obstetrics and Gynecology, University Hospital Berne, Switzerland",University of Bern,10.1515/JPM.2006.005,http://dx.doi.org/10.1515/JPM.2006.005,Efficacy of a strategy to prevent neonatal early-onset group B streptococcal (GBS) sepsis,Regina M. Renner /// A. Renner /// Seraina Schmid /// Irene Hoesli /// Per Nars /// Wolfgang Holzgreve /// Daniel V. Surbek,2006,Journal of Perinatal Medicine,"a1 /// 1.  ///  /// Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland /// a2 /// 2.  ///  /// Department of Pediatrics, University Hospital, Berne, Switzerland /// a3 /// 3.  ///  /// Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland /// a4 /// 4.  ///  /// Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland /// a5 /// 5.  ///  /// Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland /// a6 /// 6.  ///  /// Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland /// a7 /// 7.  ///  /// Department of Obstetrics and Gynecology, University Hospital, Basel, Switzerland and Department of Obstetrics and Gynecology, University Hospital Berne, Switzerland"
"Department of Obstetrics and Gynecology, University Hospital, Geneva, Switzerland",University of Geneva,10.1515/jpm-2011-0231,http://dx.doi.org/10.1515/jpm-2011-0231,Intravenous iron treatment in pregnancy: comparison of high-dose ferric carboxymaltose vs. iron sucrose,Patricia Christoph /// Christine Schuller /// Hanna Studer /// Olivier Irion /// Begoña Martinez De Tejada /// Daniel Surbek,2012,Journal of Perinatal Medicine,"aff1 /// 1 ///  /// Department of Obstetrics and Gynecology, University Hospital Insel and University of Bern, Bern, Switzerland /// aff2 /// 2 ///  /// Department of Obstetrics and Gynecology, University Hospital, Geneva, Switzerland"
"Department of Chemistry and Applied Biosciences, ETH Zürich, HCI G313, CH-8093 Zürich, Switzerland and NCCR ""Nanoscale Science"", Basel, Switzerland",ETH Zurich,10.1351/pac200577111851,http://dx.doi.org/10.1351/pac200577111851,Advanced opto-electronics materials by fullerene and acetylene scaffolding,François Diederich,2005,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Department of Chemistry and Applied Biosciences, ETH Zürich, HCI G313, CH-8093 Zürich, Switzerland and NCCR ""Nanoscale Science"", Basel, Switzerland"
"formely Paul Scherrer Institute, 5232 Villigen PSI, Switzerland",,10.1524/ract.1994.65.3.173,http://dx.doi.org/10.1524/ract.1994.65.3.173,"Sorption of Am onto Montmorillonite, Illite and Hematite Colloids",C. Degueldre /// H. J . Ulrich /// H. Silby,1994,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institute, 5232 Villigen PSI, Switzerland /// aff2 /// 2 ///  /// formely Paul Scherrer Institute, 5232 Villigen PSI, Switzerland /// aff3 /// 3 ///  /// Heriot-Watt University, Edinburgh, U.K."
"GGWW, (Rock Water Interaction Group), University of Berne, Berne, Switzerland",University of Bern,10.1524/ract.1998.82.special-issue.407,http://dx.doi.org/10.1524/ract.1998.82.special-issue.407,An Approach to Validation of Solubility Databases for Performance Assessment,I. G. McKinley /// W. R. Alexander /// A. Gautschi /// N. Waber,1998,Radiochimica Acta,"aff1 /// 1 ///  /// Nagra (National Cooperative for the Disposal of Radioactive Waste), Wettingen, Switzerland /// aff2 /// 2 ///  /// GGWW, (Rock Water Interaction Group), University of Berne, Berne, Switzerland"
"Physik-Institut, Universität Zürich, CH-8057 Zürich, Switzerland",University of Zurich,10.1524/zpch.1999.208.Part_1_2.107,http://dx.doi.org/10.1524/zpch.1999.208.Part_1_2.107,Copper Electrodeposition on Alkanethiolate Covered Gold Electrodes*,O. Cavalleri /// A. M. Bittner /// H. Kind /// K. Kern /// T. Greber,1999,Zeitschrift für Physikalische Chemie,"a1 /// Institut de Physique Expérimentale, Ecole Polytechnique Fédérale de Lausanne, CH-1015 Lausanne, Switzerland /// a2 /// Physik-Institut, Universität Zürich, CH-8057 Zürich, Switzerland"
" Laboratorium für Festkörperphysik ETH Zürich, CH-8093, Switzerland",ETH Zurich,10.1524/zpch.1996.1.1.537,http://dx.doi.org/10.1524/zpch.1996.1.1.537,Giant Oxygen-Isotope Shift of the Ferromagnetic Transition Temperature in the Colossal Magnetoresistive LaCaMnO: Evidence for Jahn-Teller Polarons*,Guo-meng Zhao /// K. Conder /// H. Keller /// K. A. Müller,1996,Zeitschrift für Physikalische Chemie,"a1 /// 1 ///  ///  Physik-Institut der Universität Zürich, CH-8057 Zürich, Switzerland /// a2 /// 2 ///  ///  Laboratorium für Festkörperphysik ETH Zürich, CH-8093, Switzerland"
"Labor für Neutronenstreuung, ETH Zürich, CH-5232 Villigen PSI, Switzerland",ETH Zurich,10.1524/zpch.1992.1.1.339,http://dx.doi.org/10.1524/zpch.1992.1.1.339,"Tetracalcium Trimagnesium Tetradekahydride, CaMgH: The First Ternary Alkaline Earth Hydride*",F. Gingl /// F. Bonhomme /// K. Yvon /// P. Fischer,1992,Zeitschrift für Physikalische Chemie,"a1 /// Laboratoire de Cristallographie, Université de Genève, 24, Quai E. Ansermet, CH-1211 Genève 4, Switzerland /// a2 /// Labor für Neutronenstreuung, ETH Zürich, CH-5232 Villigen PSI, Switzerland"
"Seminar für Angewandte Mathematik HG J 59, Rämistrasse 101 8092 Zürich, Switzerland.  ",,10.2478/cmam-2011-0017,http://dx.doi.org/10.2478/cmam-2011-0017,Sparse Discrete Ordinates Method in Radiative Transfer,Konstantin Grella /// Christoph Schwab,2011,Computational Methods in Applied Mathematics,"aff.0001 /// 1 ///  /// Seminar für Angewandte Mathematik HG J 59, Rämistrasse 101 8092 Zürich, Switzerland.  "
"Department of Laboratory Medicine, Cantonal Hospital of Aarau, Aarau, Switzerland",,10.1515/CCLM.2006.237,http://dx.doi.org/10.1515/CCLM.2006.237,Increased sensitivity in detecting renal impairments by quantitative measurement of marker protein excretion compared to detection of pathological particles in urine sediment analysis,Cornelia Ottiger /// Reto Savoca /// Hueseyin Yurtsever /// Andreas R. Huber,2006,Clinical Chemical Laboratory Medicine,"a1 /// 1.  ///  /// Department of Laboratory Medicine, Cantonal Hospital of Aarau, Aarau, Switzerland /// a2 /// 2.  ///  /// Department of Laboratory Medicine, Cantonal Hospital of Aarau, Aarau, Switzerland /// a3 /// 3.  ///  /// Institute of Pathology, Cantonal Hospital of Aarau, Aarau, Switzerland /// a4 /// 4.  ///  /// Department of Laboratory Medicine, Cantonal Hospital of Aarau, Aarau, Switzerland"
"School of Pharmaceutical Sciences, University of Geneva, University of Lausanne, Geneva, Switzerland",University of Geneva,10.1515/CCLM.2011.182,http://dx.doi.org/10.1515/CCLM.2011.182,Current role of liquid chromatography coupled to mass spectrometry in clinical toxicology screening methods,Véronique Viette /// Marc Fathi /// Serge Rudaz /// Denis Hochstrasser /// Jean-Luc Veuthey,2011,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Department of Genetic Medicine and Laboratory, Service of Laboratory Medicine, Toxicology Laboratory, Geneva University Hospital, Geneva, Switzerland /// aff2 /// 2 ///  /// ADMed Laboratories, La Chaux-de-Fonds, Switzerland /// aff3 /// 3 ///  /// Swiss Center of Applied Human Toxicology, University of Geneva, CMU, Geneva, Switzerland /// aff4 /// 4 ///  /// School of Pharmaceutical Sciences, University of Geneva, University of Lausanne, Geneva, Switzerland"
"Institut für Mathematik, Universität Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland",University of Zurich,10.1515/crelle-2013-0018,http://dx.doi.org/10.1515/crelle-2013-0018,"Erratum à L'algèbre de Hopf et le groupe de Galois motiviques, II",Joseph Ayoub,2014,Journal für die reine und angewandte Mathematik (Crelles Journal),"aff1 /// 1 ///  /// Institut für Mathematik, Universität Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland"
"Institut für Mathematik, Universität Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland",University of Zurich,10.1515/crelle-2012-0089,http://dx.doi.org/10.1515/crelle-2012-0089,"L'algèbre de Hopf et le groupe de Galois motiviques d'un corps de caractéristique nulle, I",Joseph Ayoub,2014,Journal für die reine und angewandte Mathematik (Crelles Journal),"aff1 /// 1 ///  /// Institut für Mathematik, Universität Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland"
"M.E. Müller Institute for Biomechanics, University of Bern, 3010 Bern, Switzerland",University of Bern,10.1515/bmte.1996.41.s1.394,http://dx.doi.org/10.1515/bmte.1996.41.s1.394,Design and Evaluation of a Device for Measuring 3D-Micromotions of Press-Fit Femoral Stem Prostheses,D.W. Bühler /// P Brunner /// L.-P. Nolte,1996,Biomedizinische Technik/Biomedical Engineering,"aff1 /// M.E. Müller Institute for Biomechanics, University of Bern, 3010 Bern, Switzerland"
"Mathematisches Institut, Universität Zürich, Winterthurerstrasse 190, Zürich, CH–8057, Switzerland",University of Zurich,10.1515/JAA.1999.119,http://dx.doi.org/10.1515/JAA.1999.119,Nonlinear Alternative: Application to an Integral Equation,A. Constantin,1999,Journal of Applied Analysis,"aff1 /// 1 ///  /// Mathematisches Institut, Universität Zürich, Winterthurerstrasse 190, Zürich, CH–8057, Switzerland"
"ETH Zürich, Departement Mathematik, Rämistrasse 101, 8092 Zürich, Switzerland.",ETH Zurich,10.1515/JGT.2007.028,http://dx.doi.org/10.1515/JGT.2007.028,A finitely presented torsion-free simple group,Diego Rattaggi,2007,Journal of Group Theory,"a1 /// 1 ///  ///  /// ETH Zürich, Departement Mathematik, Rämistrasse 101, 8092 Zürich, Switzerland."
"Department of Obstetrics and Gynecology, Cantonal Hospital, Frauenfeld, Switzerland",,10.1515/JPM.2004.151,http://dx.doi.org/10.1515/JPM.2004.151,Reply to the opinion paper “The baby or the bathwater: which one should be discarded?”,Verena Geissbuehler,2004,Journal of Perinatal Medicine,"a1 /// 1.  ///  /// Department of Obstetrics and Gynecology, Cantonal Hospital, Frauenfeld, Switzerland"
"Institute of Ecology and Evolution, University of Bern, Baltzerstrasse 6, CH-3012 Bern, Switzerland",University of Bern,10.1515/mamm.2010.035,http://dx.doi.org/10.1515/mamm.2010.035,"The burrow system of the common vole (, Rodentia) in Switzerland",Andrea Brügger /// Wolfgang Nentwig /// Jean-Pierre Airoldi,2010,mammalia,"aff1 /// 1 ///  /// Institute of Ecology and Evolution, University of Bern, Baltzerstrasse 6, CH-3012 Bern, Switzerland"
"University of Zurich, English Department, Plattenstrasse 47, 8032 Zurich, Switzerland",University of Zurich,10.1515/multi-2013-0001,http://dx.doi.org/10.1515/multi-2013-0001,Caregiver responses to the language mixing of a young trilingual,Sarah Chevalier,2013,Multilingua,"aff1 /// 1 ///  /// University of Zurich, English Department, Plattenstrasse 47, 8032 Zurich, Switzerland"
"Institut d'Electrochimie et de Radiochimie, Swiss Federal Institute of Technology, CH-1015 Lausanne, Switzerland",EPFL,10.1524/ract.1985.38.4.185,http://dx.doi.org/10.1524/ract.1985.38.4.185,"Excitation Functions for the Be(O, 2α)O and Be(O, d)Na Reactions",TH. DlACO /// C. Frieoli /// P. LERCH,1985,Radiochimica Acta,"aff1 /// 1 ///  /// Institut d'Electrochimie et de Radiochimie, Swiss Federal Institute of Technology, CH-1015 Lausanne, Switzerland"
"Paul Scherrer Institut, Waste Management Laboratory, CH-5232 Villigen PSI, Switzerland",,10.1524/ract.1999.84.2.111,http://dx.doi.org/10.1524/ract.1999.84.2.111,Complexation of Radionuclides with Humic Substance: The Metal Concentration Effect,W. Hummel /// M. A. Glaus /// L. R. Van Loon,1999,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institut, Waste Management Laboratory, CH-5232 Villigen PSI, Switzerland"
"Institut d'Electrochimie et de Radiochimie, Swiss Federal Institute of Technology, CH-1015 Lausanne, Switzerland",EPFL,10.1524/ract.1984.37.1.1,http://dx.doi.org/10.1524/ract.1984.37.1.1,"Excitation Functions for theB (O, pn)Mg and S  ( O ,t)  V Reactions",M. ROUSSEAU /// C. FRIEDLI /// P. LERCH,1984,Radiochimica Acta,"aff1 /// 1 ///  /// Institut d'Electrochimie et de Radiochimie, Swiss Federal Institute of Technology, CH-1015 Lausanne, Switzerland"
"Institut d'Electrochimie et de Radiochimie, Swiss Federal Institute of Technology, CH-1015 Lausanne, Switzerland",EPFL,10.1524/ract.1991.5253.1.237,http://dx.doi.org/10.1524/ract.1991.5253.1.237,Some Aspects of the Behaviour of Sr in the Environment,C. Friedli /// J. J. Geering /// P. Lerch,1991,Radiochimica Acta,"aff1 /// 1 ///  /// Institut d'Electrochimie et de Radiochimie, Swiss Federal Institute of Technology, CH-1015 Lausanne, Switzerland"
"Paul Scherrer Institute, Wfirenlingen and Villigen, CH-5232 Villigen PSI, Switzerland",,10.1524/ract.1991.55.2.83,http://dx.doi.org/10.1524/ract.1991.55.2.83,The Adsorption of Radionuclides on Bitumen,L. R. Van Loon /// Z. Kopajtic,1991,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institute, Wfirenlingen and Villigen, CH-5232 Villigen PSI, Switzerland"
"Anorganisch-chemisches Institut, Universität Bern, Freiestrasse 3, CH-3000 Bern 9, Switzerland",University of Bern,10.1524/ract.1983.34.3.139,http://dx.doi.org/10.1524/ract.1983.34.3.139,Noble Metals in Cretaceous/Tertiary Sediments from El Kef,MARTINAS KUSLYS /// URS KRÄHENBÜHL,1983,Radiochimica Acta,"aff1 /// 1 ///  /// Anorganisch-chemisches Institut, Universität Bern, Freiestrasse 3, CH-3000 Bern 9, Switzerland"
"Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, CH-3012 Bern, Switzerland",University of Bern,10.1351/PAC-CON-11-11-21,http://dx.doi.org/10.1351/PAC-CON-11-11-21,Radical azidation reactions and their application in the synthesis of alkaloids,Guillaume Lapointe /// Ajoy Kapat /// Karin Weidner /// Philippe Renaud,2012,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, CH-3012 Bern, Switzerland"
"Swiss Federal Nuclear Safety Inspectorate, CH-5232 Villigen, Switzerland",,10.1351/pac200779050875,http://dx.doi.org/10.1351/pac200779050875,Solubility data in radioactive waste disposal,Hans Wanner,2007,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Swiss Federal Nuclear Safety Inspectorate, CH-5232 Villigen, Switzerland"
"Institute of Computer Science and Applied Mathematics, University of Bern, Switzerland",University of Bern,10.1515/pik-2012-0138,http://dx.doi.org/10.1515/pik-2012-0138,Traffic-Adaptive and Link-Quality-Aware Communication in Wireless Sensor Networks,Philipp Hurni,2013,PIK - Praxis der Informationsverarbeitung und Kommunikation,"aff1 /// 1 ///  /// Institute of Computer Science and Applied Mathematics, University of Bern, Switzerland"
"Department of Chemistry, University of Fribourg, Chemin du Musée 9, CH-1700 Fribourg, Switzerland",University of Fribourg,10.1351/pac200678020241,http://dx.doi.org/10.1351/pac200678020241,Photochemical release of various functional groups,Christian G. Bochet,2006,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Department of Chemistry, University of Fribourg, Chemin du Musée 9, CH-1700 Fribourg, Switzerland"
"Department of Chemistry, University of Basel, St. Johanns Ring 19, CH-4056 Basel, Switzerland",University of Basel,10.1351/pac200072091623,http://dx.doi.org/10.1351/pac200072091623,"Stereoselective C,C-bond formation. Cyclizations of biradicals",Bernd Giese /// Frédérique Barbosa /// Christian Stähelin /// Stefan Sauer /// Philipp Wettstein /// Caroline Wyss,2000,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Department of Chemistry, University of Basel, St. Johanns Ring 19, CH-4056 Basel, Switzerland"
"Laboratorium für Anorganische Chemie, Eidgenössische Technische Hochschule, CH-8093 Zürich, Switzerland",ETH Zurich,10.1351/pac200274050787,http://dx.doi.org/10.1351/pac200274050787,Naming of new elements(IUPAC Recommendations 2002),W. H. Koppenol,2002,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Laboratorium für Anorganische Chemie, Eidgenössische Technische Hochschule, CH-8093 Zürich, Switzerland"
"Swiss Federal Institute for Reactor Research, CH-5303 Wuerenlingen, Switzerland",,10.1524/ract.1988.4445.2.387,http://dx.doi.org/10.1524/ract.1988.4445.2.387,Modelling the Incongruent Dissolution of Hydrated Cement Minerals,U. R. BERNER,1988,Radiochimica Acta,"aff1 /// 1 ///  /// Swiss Federal Institute for Reactor Research, CH-5303 Wuerenlingen, Switzerland"
"Universität Basel, Ägyptologie, Petersgraben 51, CH-4051 Basel, Switzerland",University of Basel,10.1515/zaes-2014-0013,http://dx.doi.org/10.1515/zaes-2014-0013,Splitting the ? A Discussion of Written Forms in Coffin Texts,Andréas Stauder,2014,Zeitschrift für Ägyptische Sprache und Altertumskunde,"aff1 /// 1 ///  /// Universität Basel, Ägyptologie, Petersgraben 51, CH-4051 Basel, Switzerland"
"Institut für Physik, Universität Basel, Klingelbergstr. 82, CH-4056 Basel, Switzerland",University of Basel,10.1524/zpch.1988.157.Part_2.465,http://dx.doi.org/10.1524/zpch.1988.157.Part_2.465,New Experimental Results on the Electronic Structure of Liquid Metals by Electron Spectroscopy*,G. Indlekofer /// P. Oelhafen /// R. Lapka /// H.-J. Güintherodt,1988,Zeitschrift für Physikalische Chemie,"a1 /// Institut für Physik, Universität Basel, Klingelbergstr. 82, CH-4056 Basel, Switzerland"
"Institut für Physik der Universität Basel Klingelbergstrasse 82, CH - 4056 Basel, Switzerland",University of Basel,10.1524/zpch.1988.157.Part_2.831,http://dx.doi.org/10.1524/zpch.1988.157.Part_2.831,"Magnetic Properties of Glassy, Quasicrystalline and Liquid PdUSi*",H. Jenny /// R. Lapka /// H.-J. Güntherodt,1988,Zeitschrift für Physikalische Chemie,"a1 /// Institut für Physik der Universität Basel Klingelbergstrasse 82, CH - 4056 Basel, Switzerland"
"Department of Inorganic and Analytical Chemistry, University of Geneva, Geneva (Switzerland)",University of Geneva,10.1524/zpch.1977.106.1_2.025,http://dx.doi.org/10.1524/zpch.1977.106.1_2.025,"General Kinetics of Reversible Reactions in the Excited State. Application to Excited Singlet pK Determination of Acridone, Xanthone and Thioxanthone*",F. Celardin,1977,Zeitschrift für Physikalische Chemie,"a1 /// Department of Inorganic and Analytical Chemistry, University of Geneva, Geneva (Switzerland)"
"Laboratorium für Physikalische Chemie, ETH-Zürich (Zentrum), CH-8092 Zürich, Switzerland",ETH Zurich,10.1524/zpch.1987.154.Part_1_2.059,http://dx.doi.org/10.1524/zpch.1987.154.Part_1_2.059,High Resolution Interferometric Fourier Transform Infrared Absorption Spectroscopy in Supersonic Free Jet Expansions,Andreas Amrein /// Martin Quack /// Ulrich Schmitt,1987,Zeitschrift für Physikalische Chemie,"a1 /// Laboratorium für Physikalische Chemie, ETH-Zürich (Zentrum), CH-8092 Zürich, Switzerland"
"Department of Psychology, University of Zurich, Binzmuehlestrasse 14/7, Zurich CH 8050, Switzerland",University of Zurich,10.1515/humor-2015-0101,http://dx.doi.org/10.1515/humor-2015-0101,Scott Weems: Ha! The Science of When We Laugh and Why,Tracey Platt /// Willibald Ruch,2015,HUMOR,"aff1 /// 1 ///  /// Department of Psychology, University of Zurich, Binzmuehlestrasse 14/7, Zurich CH 8050, Switzerland"
"Universität Bern – Institut für Religionswissenschaft, Lerchenweg 36, 3012 Bern, Switzerland.",University of Bern,10.1515/asia-2015-1001,http://dx.doi.org/10.1515/asia-2015-1001,"Religious History of the  Beam: Testimonies of Texts, Images and Ritual Practices ",Ekaterina Sobkovyak,2015,Asiatische Studien - Études Asiatiques,"aff1 /// 1 ///  /// Universität Bern – Institut für Religionswissenschaft, Lerchenweg 36, 3012 Bern, Switzerland."
"Department of Multilingualism, University of Fribourg, Rue de Rome 1, 1700 Fribourg, Switzerland",University of Fribourg,10.1515/iral-2015-0001,http://dx.doi.org/10.1515/iral-2015-0001,The lifespan development of cognate guessing skills in an unknown related language,Jan Vanhove /// Raphael Berthele,2015,International Review of Applied Linguistics in Language Teaching,"aff1 /// 1 ///  /// Department of Multilingualism, University of Fribourg, Rue de Rome 1, 1700 Fribourg, Switzerland"
"Institut für Religionswissenschaft, Universität Bern, Lerchenweg 36, 3012 Bern, Switzerland.",University of Bern,10.1515/asia-2015-1049,http://dx.doi.org/10.1515/asia-2015-1049,"Gorshenina, Svetlana: L’invention de l’Asie centrale. Histoire du concept de la Tartarie à l’Eurasie",Till Mostowlansky,2015,Asiatische Studien - Études Asiatiques,"aff1 /// 1 ///  /// Institut für Religionswissenschaft, Universität Bern, Lerchenweg 36, 3012 Bern, Switzerland."
Institute of Philosophy University of Zurich Zurichbergstrasse 43 CH-8044 Zurich Switzerland,University of Zurich,10.1515/cpt-2010-9604,http://dx.doi.org/10.1515/cpt-2010-9604,“Having Identified an Utterance ...” – Predication and Interpretation,Stefan Riegelnik,2010,Conceptus,aff1 /// 1 ///  /// Institute of Philosophy University of Zurich Zurichbergstrasse 43 CH-8044 Zurich Switzerland
"Department of Chemistry and Biochemistry, University of Bern, Bern, Switzerland",University of Bern,10.1515/cclm-2012-0641,http://dx.doi.org/10.1515/cclm-2012-0641,Comparative evaluation of the My5-FU™ immunoassay and LC-MS/MS in monitoring the 5-fluorouracil plasma levels in cancer patients,Barbara Büchel /// Johanna Sistonen /// Markus Joerger /// Yolanda Aebi /// Stefan Schürch /// Carlo R. Largiadèr,2013,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Institute of Clinical Chemistry, Inselspital, Bern University Hospital, and University of Bern, Bern, Switzerland /// aff2 /// 2 ///  /// Graduate School for Cellular and Biomedical Sciences, University of Bern, Bern, Switzerland /// aff3 /// 3 ///  /// Department of Medical Oncology and Hematology, Cantonal Hospital of St. Gallen, St. Gallen, Switzerland /// aff4 /// 4 ///  /// Department of Chemistry and Biochemistry, University of Bern, Bern, Switzerland"
"Institute for Clinical Chemistry, University Hospital Zurich, Zurich, Switzerland",University of Zurich,10.1515/cclm-2013-0974,http://dx.doi.org/10.1515/cclm-2013-0974,Quantification of teicoplanin in plasma by LC-MS with online sample clean-up and comparison with QMS assay,Daniel M. Mueller /// Arnold von Eckardstein /// Lanja Saleh,2014,Clinical Chemistry and Laboratory Medicine (CCLM),"aff1 /// 1 ///  /// Institute for Clinical Chemistry, University Hospital Zurich, Zurich, Switzerland"
"Institut für Mathematik, Universität Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland",University of Zurich,10.1515/crelle-2013-0101,http://dx.doi.org/10.1515/crelle-2013-0101,"Erratum à L'algèbre de Hopf et le groupe de Galois motiviques, II",Joseph Ayoub,2014,Journal für die reine und angewandte Mathematik (Crelles Journal),"aff1 /// 1 ///  /// Institut für Mathematik, Universität Zürich, Winterthurerstr. 190, 8057 Zürich, Switzerland"
"Klinik für Intensivmedizin, Universitässpital Basel, Basel, Switzerland E-mail: Patrick.Hunziker@swissnano.org",University of Basel,10.1515/ejnm-2013-0029,http://dx.doi.org/10.1515/ejnm-2013-0029,Nanomedicine enabled by computational sciences,Patrick Hunziker,2013,European Journal of Nanomedicine,"aff1 /// 1 ///  /// Klinik für Intensivmedizin, Universitässpital Basel, Basel, Switzerland E-mail:  /// Patrick.Hunziker@swissnano.org /// "
"Schweizerisches Tropen- und Public Health-Institut, Universität Basel, Socinstraße 57, 4051 Basel, Switzerland",University of Basel,10.1515/glot-2014-0019,http://dx.doi.org/10.1515/glot-2014-0019,Book review,Kristina Pelikan,2014,Glottotheory,"aff1 /// 1 ///  /// Schweizerisches Tropen- und Public Health-Institut, Universität Basel, Socinstraße 57, 4051 Basel, Switzerland"
"ETH Zurich, Institute for Building Materials, Wood Physics, Zurich, Switzerland",ETH Zurich,10.1515/hf.2010.003,http://dx.doi.org/10.1515/hf.2010.003,Moisture-induced stresses and distortions in spruce cross-laminates and composite laminates,Thomas Gereke /// Philipp Hass /// Peter Niemz,2010,Holzforschung,"aff1 /// 1 ///  /// ETH Zurich, Institute for Building Materials, Wood Physics, Zurich, Switzerland"
"Department of Mathematics, ETH Zentrum, CH-8093 Zürich, Switzerland",ETH Zurich,10.1515/acv-2012-0108,http://dx.doi.org/10.1515/acv-2012-0108,Lipschitz conformal immersions from degenerating Riemann surfaces with -bounded second fundamental forms,Tristan Rivière,2013,Advances in Calculus of Variations,"aff1 /// 1 ///  /// Department of Mathematics, ETH Zentrum, CH-8093 Zürich, Switzerland"
"UFSP Asien und Europa, Universität Zürich, Wiesenstrasse 7/9, 8008 Zürich, Switzerland",University of Zurich,10.1515/asia-2014-0038,http://dx.doi.org/10.1515/asia-2014-0038,Rezensionen – Comptes rendus – Reviews,Ulrich Brandenburg,2014,Asiatische Studien - Études Asiatiques,"aff1 /// 1 ///  /// UFSP Asien und Europa, Universität Zürich, Wiesenstrasse 7/9, 8008 Zürich, Switzerland"
"Institute of Cell Biology, ETH Zurich, 8093 Zurich, Switzerland",ETH Zurich,10.1515/BC.2011.092,http://dx.doi.org/10.1515/BC.2011.092,Wound degradomics – current status and future perspectives,Olivia Hermes /// Pascal Schlage /// Ulrich auf dem Keller,2011,Biological Chemistry,"aff1 /// 1 ///  /// Institute of Cell Biology, ETH Zurich, 8093 Zurich, Switzerland"
"Biozentrum, Biophysical Chemistry, University of Basel, Klingelbergstrasse 70, CH-4056 Basel, Switzerland",University of Basel,10.1515/BC.2009.135,http://dx.doi.org/10.1515/BC.2009.135,The mechanism of ATP-dependent RNA unwinding by DEAD box proteins,Manuel Hilbert /// Anne R. Karow /// Dagmar Klostermeier,2009,Biological Chemistry,"aff1 /// 1 ///  /// Biozentrum, Biophysical Chemistry, University of Basel, Klingelbergstrasse 70, CH-4056 Basel, Switzerland"
"Department of Neurology, University of Zurich, Frauenklinikstrasse 26, CH-8091 Zurich, Switzerland",University of Zurich,10.1515/bmt-2011-0135,http://dx.doi.org/10.1515/bmt-2011-0135,How to gain evidence in neurorehabilitation: a personal view,Andreas R. Luft,2012,Biomedizinische Technik/Biomedical Engineering,"aff1 /// 1 ///  /// Department of Neurology, University of Zurich, Frauenklinikstrasse 26, CH-8091 Zurich, Switzerland"
