springer id,title,eissn,pissn,number of articles,minYear,maxYear,cardinality,missing years
769,Accreditation and Quality Assurance,1432-0517,0949-1775,2408,1996.0,2016.0,21,0.0
10786,Instruments and Experimental Techniques,1608-3180,0020-4412,2406,2000.0,2016.0,17,0.0
10930,Journal of Protein Chemistry,1573-4943,0277-8033,2406,1982.0,2016.0,35,0.0
710,Mineralogy and Petrology,1438-1168,0930-0708,2403,1948.0,2016.0,69,0.0
10152,Helgoländer wissenschaftliche Meeresuntersuchungen,1438-3888,0017-9957,2403,1937.0,2015.0,70,9.0
11655,Chinese Journal of Integrative Medicine,1993-0402,1672-0415,2397,1995.0,2016.0,22,0.0
12149,Annals of Nuclear Medicine,1864-6433,0914-7187,2389,1987.0,2016.0,30,0.0
11262,Virus Genes,1572-994X,0920-8569,2382,1987.0,2016.0,30,0.0
343,Chinese Journal of Oceanology and Limnology,1993-5005,0254-4059,2368,1982.0,2016.0,35,0.0
11666,Journal of Thermal Spray Technology,1544-1016,1059-9630,2348,1992.0,2016.0,25,0.0
11125,Prospects,1573-9090,0033-1538,2346,1970.0,2015.0,45,1.0
11581,Ionics,1862-0760,0947-7047,2343,1995.0,2016.0,22,0.0
10898,Journal of Global Optimization,1573-2916,0925-5001,2335,1991.0,2016.0,26,0.0
11135,Quality and Quantity,1573-7845,0033-5177,2333,1967.0,2016.0,50,0.0
63,Medizinische Klinik,1615-6722,0723-5003,2326,1997.0,2016.0,20,0.0
11472,Doklady Mathematics,1531-8362,1064-5624,2326,2006.0,2015.0,10,0.0
10665,Journal of Engineering Mathematics,1573-2703,0022-0833,2321,1967.0,2015.0,49,0.0
10189,The European Physical Journal E,1292-895X,1292-8941,2318,2000.0,2016.0,17,0.0
393,Zeitschrift für Rheumatologie,1435-1250,0340-1855,2316,1997.0,2016.0,20,0.0
11105,Plant Molecular Biology Reporter,1572-9818,0735-9640,2313,1983.0,2016.0,34,0.0
10764,International Journal of Primatology,1573-8604,0164-0291,2309,1980.0,2015.0,36,0.0
521,Neural Computing and Applications,1433-3058,0941-0643,2306,1993.0,2016.0,24,0.0
11767,Journal of Electronics (China),1993-0615,0217-9822,2304,1984.0,2014.0,31,0.0
776,Journal of Orthopaedic Science,1436-2023,0949-2658,2303,1996.0,2015.0,20,0.0
11390,Journal of Computer Science and Technology,1860-4749,1000-9000,2291,1986.0,2016.0,31,0.0
12540,Metals and Materials International,2005-4149,1598-9623,2291,1995.0,2016.0,22,0.0
12658,Acta Physica Academiae Scientiarum Hungaricae,,0001-6705,2290,1951.0,1982.0,32,0.0
40279,Sports Medicine,1179-2035,0112-1642,2287,1984.0,2016.0,33,0.0
10965,Journal of Polymer Research,1572-8935,1022-9760,2286,1994.0,2016.0,23,0.0
453,Algorithmica,1432-0541,0178-4617,2279,1986.0,2016.0,31,0.0
10616,Cytotechnology,1573-0778,0920-9069,2279,1987.0,2016.0,30,0.0
11427,Science in China Series C: Life Sciences,1862-2798,1006-9305,2279,1997.0,2016.0,20,0.0
411,Radiation and Environmental Biophysics,1432-2099,0301-634X,2278,1963.0,2015.0,53,0.0
12361,Archiv für mikroskopische Anatomie,,0176-7364,2276,1865.0,1923.0,59,0.0
11432,Science China Information Sciences,1869-1919,1674-733X,2272,2001.0,2016.0,16,0.0
14,Commentarii Mathematici Helvetici,1420-8946,0010-2571,2262,1929.0,2004.0,75,1.0
468,Trees,1432-2285,0931-1890,2258,1986.0,2016.0,31,0.0
443,Virchows Archiv B,,0340-6075,2256,1968.0,1993.0,26,0.0
426,Psychological Research,1430-2772,0340-0727,2254,1922.0,2016.0,80,15.0
10863,Journal of Bioenergetics and Biomembranes,1573-6881,0145-479X,2248,1970.0,2016.0,47,0.0
226,Wood Science and Technology,1432-5225,0043-7719,2246,1967.0,2016.0,50,0.0
10570,Cellulose,1572-882X,0969-0239,2244,1994.0,2016.0,23,0.0
11068,Journal of Neurocytology,1573-7381,0300-4864,2243,1972.0,2008.0,36,1.0
184,Metrika,1435-926X,0026-1335,2237,1958.0,2016.0,59,0.0
11980,Russian Engineering Research,1934-8088,1068-798X,2233,2007.0,2016.0,10,0.0
12033,Molecular Biotechnology,1559-0305,1073-6085,2232,1994.0,2016.0,23,0.0
10016,Annals of Vascular Surgery,1615-5947,0890-5096,2231,1986.0,2006.0,21,0.0
12221,Fibers and Polymers,1875-0052,1229-9197,2224,2000.0,2016.0,17,0.0
40520,Aging Clinical and Experimental Research,1720-8319,1594-0667,2224,1989.0,2016.0,28,0.0
59,Herz,1615-6692,0340-9937,2222,1997.0,2016.0,20,0.0
10980,Landscape Ecology,1572-9761,0921-2973,2222,1987.0,2016.0,30,0.0
775,JBIC Journal of Biological Inorganic Chemistry,1432-1327,0949-8257,2221,1996.0,2015.0,20,0.0
11231,The American Journal of Psychoanalysis,1573-6741,0002-9548,2213,1941.0,2006.0,66,0.0
11173,Russian Journal of Coordination Chemistry,1608-3318,1070-3284,2208,2000.0,2016.0,17,0.0
10846,Journal of Intelligent and Robotic Systems,1573-0409,0921-0296,2201,1988.0,2016.0,29,0.0
10143,Neurosurgical Review,1437-2320,0344-5607,2199,1978.0,2016.0,39,0.0
13157,Wetlands,1943-6246,0277-5212,2199,1981.0,2016.0,36,0.0
10290,Weltwirtschaftliches Archiv,1610-2886,0043-2636,2198,1970.0,2016.0,47,0.0
500,Soft Computing,1433-7479,1432-7643,2186,1997.0,2016.0,20,0.0
27,Aquatic Sciences,1420-9055,0036-7842,2180,1920.0,2016.0,82,15.0
11085,Oxidation of Metals,1573-4889,0030-770X,2178,1969.0,2016.0,48,0.0
10694,Fire Technology,1572-8099,0015-2684,2177,1965.0,2016.0,52,0.0
11490,Laser Physics,1555-6611,1054-660X,2170,2006.0,2012.0,7,0.0
11284,Ecological Research,1440-1703,0912-3814,2169,1986.0,2016.0,31,0.0
10649,Educational Studies in Mathematics,1573-0816,0013-1954,2168,1968.0,2016.0,49,0.0
10790,The Journal of Value Inquiry,1573-0492,0022-5363,2163,1967.0,2015.0,49,0.0
10039,Trauma und Berufskrankheit,1436-6282,1436-6274,2157,1998.0,2015.0,18,0.0
10900,Journal of Community Health,1573-3610,0094-5145,2155,1975.0,2016.0,42,0.0
10995,Maternal and Child Health Journal,1573-6628,1092-7875,2153,1997.0,2016.0,20,0.0
10608,Cognitive Therapy and Research,1573-2819,0147-5916,2152,1977.0,2016.0,40,0.0
11227,The Journal of Supercomputing,1573-0484,0920-8542,2152,1987.0,2016.0,30,0.0
10469,Algebra and Logic,1573-8302,0002-5232,2149,1968.0,2015.0,48,0.0
11239,Journal of Thrombosis and Thrombolysis,1573-742X,0929-5305,2148,1994.0,2016.0,23,0.0
10043,Optical Review,1349-9432,1340-6000,2141,1994.0,2016.0,23,0.0
580,Comparative Clinical Pathology,1618-565X,1618-5641,2134,1991.0,2016.0,26,0.0
12094,Clinical and Translational Oncology,1699-3055,1699-048X,2133,2000.0,2016.0,17,0.0
10592,Conservation Genetics,1572-9737,1566-0621,2131,2000.0,2016.0,17,0.0
10029,Hernia,1248-9204,1265-4906,2122,1997.0,2016.0,20,0.0
371,The Visual Computer,1432-2315,0178-2789,2120,1985.0,2016.0,32,0.0
10630,Doklady Biological Sciences,1608-3105,0012-4966,2120,2000.0,2015.0,16,0.0
362,Statistical Papers,1613-9798,0932-5026,2118,1960.0,2016.0,56,1.0
10646,Ecotoxicology,1573-3017,0963-9292,2111,1992.0,2016.0,25,0.0
10194,The Journal of Headache and Pain,1129-2377,1129-2369,2110,2000.0,2016.0,17,0.0
11032,Molecular Breeding,1572-9788,1380-3743,2104,1995.0,2016.0,22,0.0
40596,Academic Psychiatry,1545-7230,1042-9670,2103,1989.0,2016.0,28,0.0
11511,Acta Mathematica,1871-2509,0001-5962,2102,1882.0,2015.0,120,14.0
199,Economic Theory,1432-0479,0938-2259,2098,1991.0,2016.0,26,0.0
10495,Apoptosis,1573-675X,1360-8185,2098,1996.0,2016.0,21,0.0
10585,Clinical & Experimental Metastasis,1573-7276,0262-0898,2098,1983.0,2016.0,33,1.0
11631,Chinese Journal of Geochemistry,1993-0364,1000-9426,2098,1982.0,2016.0,35,0.0
454,Discrete & Computational Geometry,1432-0444,0179-5376,2094,1986.0,2016.0,31,0.0
10740,High Temperature,1608-3156,0018-151X,2088,2000.0,2015.0,16,0.0
12517,Arabian Journal of Geosciences,1866-7538,1866-7511,2084,2008.0,2016.0,9,0.0
11230,Systematic Parasitology,1573-5192,0165-5752,2082,1979.0,2016.0,38,0.0
40266,Drugs & Aging,1179-1969,1170-229X,2074,1991.0,2016.0,26,0.0
10623,"Designs, Codes and Cryptography",1573-7586,0925-1022,2068,1991.0,2016.0,26,0.0
10986,Lithuanian Mathematical Journal,1573-8825,0363-1672,2060,1973.0,2015.0,43,0.0
482,Der Schmerz,1432-2129,0932-433X,2058,1987.0,2016.0,30,0.0
34,"Circuits, Systems and Signal Processing",1531-5878,0278-081X,2055,1982.0,2016.0,35,0.0
10040,Hydrogeology Journal,1435-0157,1431-2174,2045,1992.0,2016.0,24,1.0
25,Results in Mathematics,1420-9012,0378-6218,2035,1978.0,2016.0,39,0.0
13197,Journal of Food Science and Technology,0975-8402,0022-1155,2031,2010.0,2016.0,7,0.0
11367,The International Journal of Life Cycle Assessment,1614-7502,0948-3349,2029,1996.0,2016.0,21,0.0
717,Spektrum der Augenheilkunde,1613-7523,0930-4282,2027,1990.0,2015.0,26,0.0
12680,Transactions of the Royal Academy of Medicine in Ireland,,0790-2352,2010,1883.0,1919.0,37,0.0
11075,Numerical Algorithms,1572-9265,1017-1398,2007,1991.0,2016.0,26,0.0
601,Few-Body Systems,1432-5411,0177-7963,2004,1986.0,2016.0,31,0.0
12176,Controlling & Management,1864-5410,1614-1822,2002,2000.0,2016.0,17,0.0
380,Heart and Vessels,1615-2573,0910-8327,1998,1985.0,2016.0,32,0.0
10409,Acta Mechanica Sinica,1614-3116,0567-7718,1998,1985.0,2015.0,31,0.0
12215,Rendiconti del Circolo Matematico di Palermo,1973-4409,0009-725X,1993,1952.0,2015.0,64,0.0
10747,Human Physiology,1608-3164,0362-1197,1992,2000.0,2015.0,16,0.0
292,Der Pathologe,1432-1963,0172-8113,1991,1994.0,2016.0,23,0.0
13660,Journal of Inequalities and Applications,1029-242X,,1987,2011.0,2016.0,6,0.0
11986,Steel in Translation,1935-0988,0967-0912,1986,2007.0,2015.0,9,0.0
10278,Journal of Digital Imaging,1618-727X,0897-1889,1981,1988.0,2016.0,29,0.0
40777,Rendiconti del Circolo Matematico di Palermo (1884-1940),0009-725X,,1978,1887.0,1940.0,51,3.0
10877,Journal of Clinical Monitoring and Computing,1573-2614,1387-1307,1974,1985.0,2016.0,30,2.0
13233,Macromolecular Research,2092-7673,1598-5032,1971,2002.0,2016.0,15,0.0
12029,International Journal of Pancreatology,1559-0739,1537-3649,1970,1986.0,2016.0,30,1.0
10933,Journal of Paleolimnology,1573-0417,0921-2728,1966,1988.0,2016.0,29,0.0
10038,Journal of Human Genetics,1435-232X,1434-5161,1964,1977.0,2008.0,32,0.0
534,Journal of Hepato-Biliary-Pancreatic Surgery,1436-0691,0944-1166,1961,1993.0,2013.0,21,0.0
10577,Chromosome Research,1573-6849,0967-3849,1954,1993.0,2016.0,24,0.0
10579,Computers and the Humanities,1572-8412,0010-4817,1954,1966.0,2016.0,51,0.0
11452,Plasma Physics Reports,1562-6938,1063-780X,1953,2000.0,2016.0,17,0.0
10452,Aquatic Ecology,1573-5125,1386-2588,1952,1968.0,2016.0,49,0.0
10974,Journal of Muscle Research & Cell Motility,1573-2657,0142-4319,1951,1980.0,2015.0,36,0.0
12026,Immunologic Research,1559-0755,0257-277X,1950,1982.0,2016.0,35,0.0
10659,Journal of Elasticity,1573-2681,0374-3535,1949,1971.0,2016.0,46,0.0
168,The Annals of Regional Science,1432-0592,0570-1864,1944,1967.0,2016.0,50,0.0
40014,Springer Healthcare News,2193-0961,,1944,2012.0,2012.0,1,0.0
11265,"Journal of VLSI signal processing systems for signal, image and video technology",1939-8115,0922-5773,1934,1989.0,2016.0,28,0.0
12040,Journal of Earth System Science,0973-774X,0253-4126,1926,1978.0,2015.0,38,0.0
10147,International Journal of Clinical Oncology,1437-7772,1341-9625,1922,1996.0,2016.0,21,0.0
10669,Environmentalist,1573-2991,0251-1088,1915,1981.0,2015.0,35,0.0
11099,Photosynthetica,1573-9058,0300-3604,1915,1997.0,2016.0,20,0.0
40263,CNS Drugs,1179-1934,1172-7047,1913,1994.0,2016.0,23,0.0
11589,Acta Seismologica Sinica,1993-1344,1000-9116,1898,1988.0,2015.0,25,3.0
11676,Journal of Forestry Research,1993-0607,1007-662X,1898,1990.0,2016.0,27,0.0
12257,Biotechnology and Bioprocess Engineering,1976-3816,1226-8372,1898,1996.0,2015.0,20,0.0
12249,AAPS PharmSciTech,1530-9932,,1893,2000.0,2015.0,16,0.0
12600,Phytoparasitica,1876-7184,0334-2123,1892,1973.0,2015.0,43,0.0
11669,Journal of Phase Equilibria and Diffusion,1863-7345,1547-7037,1885,1998.0,2015.0,14,4.0
11124,Protection of Metals and Physical Chemistry of Surfaces,1608-327X,2070-2051,1882,2000.0,2016.0,17,0.0
13318,European Journal of Drug Metabolism and Pharmacokinetics,2107-0180,0378-7966,1873,1976.0,2016.0,41,0.0
11021,Microbiology,1608-3237,0026-2617,1872,2000.0,2016.0,17,0.0
11181,Russian Journal of Nondestructive Testing,1608-3385,1061-8309,1871,2000.0,2015.0,16,0.0
10826,Journal of Child and Family Studies,1573-2843,1062-1024,1870,1992.0,2016.0,25,0.0
10488,Administration and Policy in Mental Health and Mental Health Services Research,1573-3289,0894-587X,1864,1973.0,2016.0,44,0.0
784,Clinical Oral Investigations,1436-3771,1432-6981,1861,1997.0,2016.0,20,0.0
10534,BioMetals,1572-8773,0966-0844,1860,1988.0,2016.0,29,0.0
10640,Environmental and Resource Economics,1573-1502,0924-6460,1859,1991.0,2016.0,26,0.0
10975,Kinetics and Catalysis,1608-3210,0023-1584,1857,2000.0,2015.0,16,0.0
11236,Theoretical Foundations of Chemical Engineering,1608-3431,0040-5795,1850,2000.0,2015.0,16,0.0
10822,Journal of Computer-Aided Molecular Design,1573-4951,0920-654X,1843,1987.0,2016.0,30,0.0
373,Graphs and Combinatorics,1435-5914,0911-0119,1842,1985.0,2016.0,32,0.0
11008,Molecular Biology,1608-3245,0026-8933,1838,2000.0,2015.0,16,0.0
10438,Applied Biochemistry and Microbiology,1608-3024,0003-6838,1837,2000.0,2016.0,17,0.0
11162,Research in Higher Education,1573-188X,0361-0365,1837,1973.0,2016.0,44,0.0
11263,International Journal of Computer Vision,1573-1405,0920-5691,1837,1987.0,2016.0,30,0.0
10049,Notfall +  Rettungsmedizin,1436-0578,1434-6222,1829,1998.0,2016.0,19,0.0
10615,Clinical Social Work Journal,1573-3343,0091-1674,1829,1973.0,2016.0,44,0.0
13369,Arabian Journal for Science and Engineering,2191-4281,1319-8025,1826,2011.0,2016.0,6,0.0
10840,Journal of Interventional Cardiac Electrophysiology,1572-8595,1383-875X,1824,1997.0,2016.0,20,0.0
11487,Journal of Communications Technology and Electronics,1555-6557,1064-2269,1824,2006.0,2016.0,11,0.0
22,Journal of Geometry,1420-8997,0047-2468,1819,1971.0,2015.0,45,0.0
10595,Colloid Journal,1608-3067,1061-933X,1818,2000.0,2016.0,17,0.0
10832,Journal of Electroceramics,1573-8663,1385-3449,1817,1997.0,2015.0,19,0.0
181,Empirical Economics,1435-8921,0377-7332,1815,1976.0,2016.0,41,0.0
11183,Russian Journal of Plant Physiology,1608-3407,1021-4437,1805,2000.0,2016.0,17,0.0
10894,Journal of Fusion Energy,1572-9591,0164-0313,1802,1981.0,2016.0,35,1.0
11248,Transgenic Research,1573-9368,0962-8819,1801,1991.0,2016.0,26,0.0
11024,Minerva,1573-1871,0026-4695,1797,1962.0,2015.0,54,0.0
12224,Folia Geobotanica et Phytotaxonomica,1874-9348,0015-5551,1796,1966.0,2015.0,50,0.0
147,Transplant International,1432-2277,0934-0874,1791,1988.0,2005.0,18,0.0
10542,Biotechnology Techniques,1573-6784,0951-208X,1789,1987.0,1999.0,13,0.0
11747,Journal of the Academy of Marketing Science,1552-7824,0092-0703,1781,1973.0,2016.0,44,0.0
224,Theory of Computing Systems,1433-0490,1432-4350,1779,1967.0,2016.0,48,2.0
10140,Emergency Radiology,1438-1435,1070-3004,1776,1994.0,2016.0,23,0.0
10269,Oncologie,1765-2839,1292-3818,1772,2004.0,2016.0,13,0.0
10928,Journal of Pharmacokinetics and Biopharmaceutics,1573-8744,0090-466X,1770,1973.0,2016.0,43,1.0
787,European Child & Adolescent Psychiatry,1435-165X,1018-8827,1766,1992.0,2016.0,25,0.0
40630,Physiological Psychology,,0090-5046,1766,1973.0,2000.0,27,1.0
11059,Neohelicon,1588-2810,0324-4652,1764,1973.0,2015.0,43,0.0
603,Rock Mechanics and Rock Engineering,1434-453X,0723-2632,1763,1969.0,2016.0,48,0.0
11441,Acoustical Physics,1562-6865,1063-7710,1758,2000.0,2016.0,17,0.0
11137,Radiochemistry,1608-3288,1066-3622,1752,2001.0,2016.0,16,0.0
10540,Bioscience Reports,1573-4935,0144-8463,1750,1981.0,2007.0,27,0.0
11854,Journal d’Analyse Mathématique,1565-8538,0021-7670,1749,1951.0,2015.0,63,2.0
12188,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,1865-8784,0025-5858,1749,1922.0,2015.0,79,15.0
774,Journal of Bone and Mineral Metabolism,1435-5604,0914-8779,1746,1988.0,2016.0,29,0.0
10255,Acta Mathematicae Applicatae Sinica,1618-3932,0168-9673,1744,1984.0,2015.0,31,1.0
11509,Thermal Engineering,1555-6301,0040-6015,1743,2006.0,2016.0,11,0.0
11524,Journal of Urban Health,1468-2869,1099-3460,1741,1988.0,2015.0,19,9.0
11616,Publizistik,1862-2569,0033-4006,1739,2000.0,2016.0,17,0.0
12205,KSCE Journal of Civil Engineering,1976-3808,1226-7988,1736,1997.0,2016.0,20,0.0
11475,Eurasian Soil Science,1556-195X,1064-2293,1734,2006.0,2016.0,11,0.0
11238,Theory and Decision,1573-7187,0040-5833,1733,1970.0,2016.0,47,0.0
10144,Researches on Population Ecology,1437-5613,0034-5466,1729,1952.0,2016.0,58,7.0
10994,Machine Learning,1573-0565,0885-6125,1726,1986.0,2016.0,31,0.0
10157,Clinical and Experimental Nephrology,1437-7799,1342-1751,1724,1997.0,2016.0,20,0.0
11700,"Journal of Surface Investigation. X-ray, Synchrotron and Neutron Techniques",1819-7094,1027-4510,1724,2007.0,2016.0,10,0.0
12662,Sportwissenschaft,1868-1069,0342-2380,1721,1971.0,2015.0,45,0.0
12190,Journal of Applied Mathematics and Computing,1865-2085,1598-5865,1719,1994.0,2016.0,23,0.0
391,Zeitschrift für Gerontologie und Geriatrie,1435-1269,0948-6704,1714,1998.0,2016.0,19,0.0
10566,Child care quarterly,1573-3319,1053-1890,1711,1971.0,2016.0,46,0.0
12541,International Journal of Precision Engineering and Manufacturing,2005-4602,2234-7593,1709,2009.0,2016.0,8,0.0
12035,Molecular Neurobiology,1559-1182,0893-7648,1707,1987.0,2016.0,30,0.0
12046,Sadhana,0973-7677,0256-2499,1705,1978.0,2015.0,38,0.0
10998,Periodica Mathematica Hungarica,1588-2829,0031-5303,1703,1971.0,2015.0,45,0.0
10865,Journal of Behavioral Medicine,1573-3521,0160-7715,1700,1978.0,2016.0,39,0.0
11470,Computational Mathematics and Mathematical Physics,1555-6662,0965-5425,1700,2006.0,2015.0,10,0.0
355,Social Choice and Welfare,1432-217X,0176-1714,1694,1984.0,2016.0,33,0.0
10404,Microfluidics and Nanofluidics,1613-4990,1613-4982,1691,2004.0,2016.0,13,0.0
12562,Fisheries Science,1444-2906,0919-9268,1690,2005.0,2016.0,12,0.0
11235,Telecommunication Systems,1572-9451,1018-4864,1684,1993.0,2016.0,24,0.0
12124,Integrative Physiological and Behavioral Science,1936-3567,1053-881X,1684,1966.0,2016.0,50,1.0
11406,Philosophia,1574-9274,0048-3893,1683,1971.0,2015.0,43,2.0
11212,Studies in Soviet Thought,1573-0948,0039-3797,1679,1961.0,2015.0,55,0.0
11276,Wireless Networks,1572-8196,1022-0038,1677,1995.0,2016.0,22,0.0
10904,Journal of Inorganic and Organometallic Polymers and Materials,1574-1451,1574-1443,1674,1991.0,2016.0,26,0.0
10745,Human Ecology,1572-9915,0300-7839,1670,1972.0,2016.0,45,0.0
11368,Journal of Soils and Sediments,1614-7480,1439-0108,1669,2001.0,2016.0,16,0.0
11444,Astronomy Reports,1562-6881,1063-7729,1662,2000.0,2016.0,17,0.0
10460,Agriculture and Human Values,1572-8366,0889-048X,1652,1984.0,2016.0,33,0.0
12129,Academic Questions,1936-4709,0895-4852,1651,1988.0,2015.0,28,0.0
10905,Journal of Insect Behavior,1572-8889,0892-7553,1650,1988.0,2015.0,28,0.0
10068,Food Science and Biotechnology,2092-6456,1226-7708,1638,2010.0,2016.0,7,0.0
11947,Food and Bioprocess Technology,1935-5149,1935-5130,1636,2008.0,2016.0,9,0.0
10845,Journal of Intelligent Manufacturing,1572-8145,0956-5515,1634,1990.0,2016.0,27,0.0
11726,Journal of Acupuncture and Tuina Science,1993-0399,1672-3597,1631,2003.0,2016.0,14,0.0
11583,Il Nuovo Cimento,1827-6121,0029-6341,1626,1855.0,1961.0,14,93.0
12524,Journal of the Indian Society of Remote Sensing,0974-3006,0255-660X,1620,1973.0,2015.0,43,0.0
455,Dysphagia,1432-0460,0179-051X,1614,1986.0,2016.0,30,1.0
10273,Wirtschaftsdienst,1613-978X,0043-6275,1610,2005.0,2016.0,12,0.0
477,Stochastic Environmental Research and Risk Assessment,1436-3259,1436-3240,1606,1987.0,2016.0,30,0.0
12055,Indian Journal of Thoracic and Cardiovascular Surgery,0973-7723,0970-9134,1606,1982.0,2015.0,28,6.0
11508,The Physics of Metals and Metallography,1555-6190,0031-918X,1605,2006.0,2016.0,11,0.0
10780,Interchange,1573-1790,0826-4805,1593,1970.0,2016.0,47,0.0
10525,Biology Bulletin,1608-3059,1062-3590,1589,2000.0,2016.0,17,0.0
10915,Journal of Scientific Computing,1573-7691,0885-7474,1587,1986.0,2016.0,31,0.0
10706,Geotechnical and Geological Engineering,1573-1529,0960-3182,1585,1983.0,2016.0,34,0.0
11187,Small Business Economics,1573-0913,0921-898X,1578,1989.0,2016.0,28,0.0
11668,Journal of Failure Analysis and Prevention,1864-1245,1547-7029,1573,2001.0,2016.0,16,0.0
12291,Indian Journal of Clinical Biochemistry,0974-0422,0970-1915,1569,1989.0,2016.0,28,0.0
10934,Journal of Porous Materials,1573-4854,1380-2224,1568,1995.0,2016.0,22,0.0
10682,Evolutionary Ecology,1573-8477,0269-7653,1567,1987.0,2016.0,30,0.0
10611,"Crime, Law and Social Change",1573-0751,0925-4994,1563,1977.0,2015.0,39,0.0
10086,Journal of Wood Science,1611-4663,1435-0211,1560,1998.0,2016.0,19,0.0
10946,Journal of Russian Laser Research,1573-8760,1071-2836,1558,1980.0,2015.0,36,0.0
12054,Sozial Extra,1863-8953,0931-279X,1557,2004.0,2016.0,13,0.0
10286,Clinical Autonomic Research,1619-1560,0959-9851,1556,1991.0,2016.0,26,0.0
13213,Annals of Microbiology,1869-2044,1590-4261,1556,2006.0,2016.0,11,0.0
10165,Modern Rheumatology,1439-7609,1439-7595,1554,1997.0,2013.0,17,0.0
11171,Russian Journal of Bioorganic Chemistry,1608-330X,1068-1620,1554,2000.0,2016.0,17,0.0
11505,Russian Metallurgy (Metally),1555-6255,0036-0295,1551,2006.0,2015.0,10,0.0
11756,Biologia,1336-9563,0006-3088,1551,2006.0,2014.0,9,0.0
10151,Techniques in Coloproctology,1128-045X,1123-6337,1550,1999.0,2016.0,18,0.0
11906,Current Hypertension Reports,1534-3111,1522-6417,1550,1999.0,2016.0,18,0.0
12253,Pathology & Oncology Research,1532-2807,1219-4956,1546,1995.0,2016.0,22,0.0
10156,Journal of Infection and Chemotherapy,1437-7780,1341-321X,1543,1995.0,2013.0,19,0.0
12028,Neurocritical Care,1556-0961,1541-6933,1541,2004.0,2016.0,13,0.0
11357,AGE,1574-4647,0161-9152,1536,1978.0,2016.0,38,1.0
10653,Environmental Geochemistry and Health,1573-2983,0269-4042,1535,1979.0,2016.0,38,0.0
10720,Glass Physics and Chemistry,1608-313X,1087-6596,1534,2000.0,2016.0,17,0.0
11670,Chinese Journal of Cancer Research,1993-0631,1000-9604,1532,1988.0,2012.0,25,0.0
291,Operations-Research-Spektrum,1436-6304,0171-6468,1528,1979.0,2016.0,38,0.0
10330,The Chinese-German Journal of Clinical Oncology,1613-9089,1610-1979,1527,2002.0,2013.0,12,0.0
10021,Ecosystems,1435-0629,1432-9840,1525,1998.0,2016.0,19,0.0
12459,Maatwerk,1876-6021,1567-6587,1516,2004.0,2015.0,12,0.0
287,Informatik-Spektrum,1432-122X,0170-6012,1509,1985.0,2016.0,23,9.0
11134,Queueing Systems,1572-9443,0257-0130,1507,1986.0,2016.0,31,0.0
390,Intensivmedizin und Notfallmedizin,1435-1420,0175-3851,1505,1997.0,2011.0,15,0.0
11886,Current Cardiology Reports,1534-3170,1523-3782,1504,1999.0,2016.0,18,0.0
10587,Czechoslovak Mathematical Journal,1572-9141,0011-4642,1503,1997.0,2015.0,19,0.0
11090,Plasma Chemistry and Plasma Processing,1572-8986,0272-4324,1503,1981.0,2016.0,36,0.0
10836,Journal of Electronic Testing,1573-0727,0923-8174,1499,1990.0,2016.0,27,0.0
10499,Aquaculture International,1573-143X,0967-6120,1497,1993.0,2016.0,24,0.0
12686,Conservation Genetics Resources,1877-7260,1877-7252,1494,2009.0,2015.0,7,0.0
772,Gefässchirurgie,1434-3932,0948-7034,1490,1997.0,2016.0,20,0.0
11165,Research in Science Education,1573-1898,0157-244X,1486,1971.0,2016.0,46,0.0
11920,Current Psychiatry Reports,1535-1645,1523-3812,1483,1999.0,2016.0,18,0.0
526,Calculus of Variations and Partial Differential Equations,1432-0835,0944-2669,1482,1993.0,2016.0,24,0.0
11007,Man and World,1573-1103,0025-1534,1481,1968.0,2015.0,48,0.0
236,Acta Informatica,1432-0525,0001-5903,1480,1971.0,2016.0,46,0.0
11153,International Journal for Philosophy of Religion,1572-8684,0020-7047,1472,1970.0,2016.0,47,0.0
11443,Astronomy Letters,1562-6873,1063-7737,1471,2000.0,2016.0,17,0.0
11188,Somatic Cell and Molecular Genetics,1572-9931,0740-7750,1470,1975.0,2002.0,27,1.0
10989,Letters in Peptide Science,1573-496X,0929-5666,1460,1994.0,2015.0,21,1.0
12379,Tschermaks mineralogische und petrographische Mitteilungen,1438-1168,0373-4218,1458,1878.0,1943.0,59,7.0
12462,Mednet,1876-5963,1568-7716,1455,2011.0,2014.0,4,0.0
11191,Science & Education,1573-1901,0926-7220,1452,1992.0,2016.0,25,0.0
11857,Blätter der DGVFM,1864-0303,0012-0200,1452,1950.0,2010.0,61,0.0
11294,International Advances in Economic Research,1573-966X,1083-0898,1451,1995.0,2015.0,21,0.0
10006,"Mund-, Kiefer- und Gesichtschirurgie",1434-3940,1432-9417,1447,1997.0,2016.0,20,0.0
10874,Journal of Atmospheric Chemistry,1573-0662,0167-7764,1443,1983.0,2015.0,33,0.0
10876,Journal of Cluster Science,1572-8862,1040-7278,1443,1990.0,2016.0,27,0.0
10532,Biodegradation,1572-9729,0923-9820,1440,1990.0,2016.0,27,0.0
10354,Wiener Medizinische Wochenschrift,1563-258X,0043-5341,1437,2003.0,2016.0,14,0.0
10897,Journal of Genetic Counseling,1573-3599,1059-7700,1437,1992.0,2016.0,25,0.0
153,Archive for Mathematical Logic,1432-0665,0933-5846,1435,1950.0,2016.0,58,9.0
12114,The Review of Black Political Economy,1936-4814,0034-6446,1434,1970.0,2016.0,47,0.0
