PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Issues in Legal Scholarship	2194-5780	1539-8323	2001-06-01	1	1	2019-08-20	17	1	https://www.degruyter.com/openurl?genre=journal&issn=1539-8323		1539-8323		fulltext	CEASED !	De Gruyter	serial								P
it - Information Technology	1611-2776	2196-7032	1959-06-20		1	2021-11-20	63	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2196-7032		2196-7032		fulltext	Online	De Gruyter Oldenbourg	serial								P
Jahrbuch der Göttinger Akademie der Wissenschaften	0373-9767	1868-9191	2008-10-20		1	2016-08-15		6	https://www.degruyter.com/openurl?genre=journal&issn=1868-9191		1868-9191		fulltext	CEASED !	De Gruyter	yearbook								P
Jahrbuch der Juristischen Zeitgeschichte	1869-6899	1869-6902	2010-01-01		11	2021-11-15		21 (2020/2021)	https://www.degruyter.com/openurl?genre=journal&issn=1869-6902		1869-6902		fulltext	Online	De Gruyter	yearbook								P
Jahrbuch der Raabe-Gesellschaft	0075-2371	1865-8857	1960-01-01	1	1	2021-11-15		OO	https://www.degruyter.com/openurl?genre=journal&issn=1865-8857		1865-8857		fulltext	Online	De Gruyter	yearbook								P
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands	0075-2614	2191-9909	2009-01-01		1	2021-11-20		67	https://www.degruyter.com/openurl?genre=journal&issn=2191-9909		2191-9909		fulltext	Online	De Gruyter	yearbook								P
Jahrbuch für Germanistische Sprachgeschichte	1869-7038	1869-7046	2010-12-20		1	2021-11-15		12	https://www.degruyter.com/openurl?genre=journal&issn=1869-7046		1869-7046		fulltext	Online	De Gruyter	yearbook								P
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook	0075-2800	2196-6842	1960-06-15	1	1	2021-11-15	62	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6842		2196-6842		fulltext	Online	Oldenbourg Wissenschaftsverlag	serial								F
Jahrbuch für Wissenschaft und Ethik	1430-9017	1613-1142	1996-01-01		1	2021-10-20	26	1	https://www.degruyter.com/openurl?genre=journal&issn=1613-1142		1613-1142		fulltext	CEASED !	De Gruyter	yearbook								P
Journal der Juristischen Zeitgeschichte	1863-9984	1868-8810	2010-04-01	4	1	2021-09-20	15	3	https://www.degruyter.com/openurl?genre=journal&issn=1868-8810		1868-8810		fulltext	Online	De Gruyter	serial								P
Journal des Économistes et des Études Humaines	2194-5799	2153-1552	1990-01-01	1	1	2021-06-20	27	1	https://www.degruyter.com/openurl?genre=journal&issn=2153-1552		2153-1552		fulltext	Online	De Gruyter	serial								P
Journal for Manufacturing Science and Production 	2191-4184	2191-0375	1997-12-01	1	1	2016-12-31	16	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0375		2191-0375		fulltext	CEASED !	De Gruyter	serial								P
Journal for the History of Modern Theology / Zeitschrift für Neuere Theologiegeschichte	0943-7592	1612-9776	1994-01-01	1	1	2021-10-20	28	2	https://www.degruyter.com/openurl?genre=journal&issn=1612-9776		1612-9776		fulltext	Online	De Gruyter	serial								P
Journal für die reine und angewandte Mathematik	0075-4102	1435-5345	1826-01-01		1	2021-12-31		781	https://www.degruyter.com/openurl?genre=journal&issn=1435-5345		1435-5345		fulltext	Online	De Gruyter	serial								P
Journal of African Languages and Linguistics	0167-6164	1613-3811	1979-01-01	1	1	2021-10-27	42	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-3811		1613-3811		fulltext	Online	De Gruyter Mouton	serial								P
Journal of Agricultural & Food Industrial Organization	2194-5896	1542-0485	2003-01-01	1	1	2021-12-20	19	2	https://www.degruyter.com/openurl?genre=journal&issn=1542-0485		1542-0485		fulltext	Online	De Gruyter	serial								P
Journal of Ancient History	2324-8106	2324-8114	2013-05-20	1	1	2021-12-18	9	2	https://www.degruyter.com/openurl?genre=journal&issn=2324-8114		2324-8114		fulltext	Online	De Gruyter	serial								P
Journal of Ancient Near Eastern History	2328-9554	2328-9562	2014-02-28	1	1	2021-05-15	8	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2328-9562		2328-9562		fulltext	Online	De Gruyter	serial								P
Journal of Applied Analysis	1425-6908	1869-6082	1995-06-01	1	1	2021-12-30	27	2	https://www.degruyter.com/openurl?genre=journal&issn=1869-6082		1869-6082		fulltext	Online	De Gruyter	serial								P
Journal of Applied Geodesy	1862-9016	1862-9024	2007-03-22	1	1	2021-10-25	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1862-9024		1862-9024		fulltext	Online	De Gruyter	serial								P
Journal of Basic and Clinical Physiology and Pharmacology	0792-6855	2191-0286	1986-12-01	6	Supplement	2021-11-15	32	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0286		2191-0286		fulltext	Online	De Gruyter	serial								P
Journal of Biosecurity, Biosafety and Biodefense Law	2194-590X	2154-3186	2011-07-15		1	2021-06-15		12	https://www.degruyter.com/openurl?genre=journal&issn=2154-3186		2154-3186		fulltext	Online	De Gruyter	serial								P
Journal of Business Valuation and Economic Loss Analysis	2194-5861	1932-9156	2006-01-01	1	1	2021-02-15	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1932-9156		1932-9156		fulltext	Online	De Gruyter	serial								P
Journal of Causal Inference 	2193-3677	2193-3685	2013-06-15	1	1	2021-09-30	9	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-3685		2193-3685		fulltext	Online	De Gruyter	serial								F
Journal of Complementary and Integrative Medicine	2194-6329	1553-3840	2004-01-01	1	1	2021-12-15	18	4	https://www.degruyter.com/openurl?genre=journal&issn=1553-3840		1553-3840		fulltext	Online	De Gruyter	serial								P
Journal of Contemporary Drama in English	2195-0156	2195-0164	2013-05-20	1	1	2021-11-20	9	2	https://www.degruyter.com/openurl?genre=journal&issn=2195-0164		2195-0164		fulltext	Online	De Gruyter	serial								P
Journal of Drug Policy Analysis	2194-6337	1941-2851	2008-01-01	1	1	2021-06-20	14	1	https://www.degruyter.com/openurl?genre=journal&issn=1941-2851		1941-2851		fulltext	CEASED !	De Gruyter	serial								P
Journal of Early Modern Christianity	2196-6648	2196-6656	2014-05-31	1	1	2021-11-15	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6656		2196-6656		fulltext	Online	De Gruyter	serial								P
Journal of Econometric Methods	2194-6345	2156-6674	2012-01-01	1	1	2021-01-20	10	1	https://www.degruyter.com/openurl?genre=journal&issn=2156-6674		2156-6674		fulltext	Online	De Gruyter	serial								P
Journal of English as a Lingua Franca	2191-9216	2191-933X	2012-03-15	1	1	2021-09-15	10	2	https://www.degruyter.com/openurl?genre=journal&issn=2191-933X		2191-933X		fulltext	Online	De Gruyter Mouton	serial								P
Journal of European Tort Law	1868-9612	1868-9620	1998-01-01	1	1	2021-12-17	12	3	https://www.degruyter.com/openurl?genre=journal&issn=1868-9620		1868-9620		fulltext	Online	De Gruyter	serial								P
Journal of Globalization and Development 	2194-6353	1948-1837	2010-01-01	1	1	2021-12-30	12	2	https://www.degruyter.com/openurl?genre=journal&issn=1948-1837		1948-1837		fulltext	Online	De Gruyter	serial								P
Journal of Group Theory	1433-5883	1435-4446	1998-01-01	1	1	2021-11-21	24	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-4446		1435-4446		fulltext	Online	De Gruyter	serial								P
Journal of Homeland Security and Emergency Management	2194-6361	1547-7355	2004-01-01	1	1	2021-09-20	18	3	https://www.degruyter.com/openurl?genre=journal&issn=1547-7355		1547-7355		fulltext	Online	De Gruyter	serial								P
Journal of Imagery Research in Sport and Physical Activity	2194-637X	1932-0191	2006-01-01	1	1	2021-12-20	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1932-0191		1932-0191		fulltext	Online	De Gruyter	serial								P
Journal of Intelligent Systems	0334-1860	2191-026X	1991-09-01	1	1	2021-01-20	30	1	https://www.degruyter.com/openurl?genre=journal&issn=2191-026X		2191-026X		fulltext	Online	De Gruyter	serial								F
Journal of Inverse and Ill-posed Problems	0928-0219	1569-3945	1993-01-01	1	1	2021-12-30	29	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3945		1569-3945		fulltext	Online	De Gruyter	serial								P
Journal of Laboratory Medicine	2567-9430	2567-9449	1977-01-01	1	1	2021-12-15	45	6	https://www.degruyter.com/openurl?genre=journal&issn=2567-9449		2567-9449		fulltext	Online	De Gruyter	serial								F
Journal of Latin Linguistics	2194-8739	2194-8747	1980-06-20		1	2021-10-30	20	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-8747		2194-8747		fulltext	Online	De Gruyter Mouton	serial								P
Journal of Literary Semantics	0341-7638	1613-3838	1972-01-01	1	Jan	2021-10-15	50	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-3838		1613-3838		fulltext	Online	De Gruyter Mouton	serial								P
Journal of Literary Theory	1862-5290	1862-8990	2007-08-21	1	1	2021-12-20	15	1-2	https://www.degruyter.com/openurl?genre=journal&issn=1862-8990		1862-8990		fulltext	Online	De Gruyter	serial								F
Journal of Mathematical Cryptology	1862-2976	1862-2984	2007-01-25	1	1	2021-03-15	15	1	https://www.degruyter.com/openurl?genre=journal&issn=1862-2984		1862-2984		fulltext	Online	De Gruyter	serial								F
Journal of Non-Equilibrium Thermodynamics	0340-0204	1437-4358	1976-01-01	1	1	2021-10-15	46	4	https://www.degruyter.com/openurl?genre=journal&issn=1437-4358		1437-4358		fulltext	Online	De Gruyter	serial								P
Journal of Numerical Mathematics	1570-2820	1569-3953	2001-03-01	9	März	2021-12-19	29	4	https://www.degruyter.com/openurl?genre=journal&issn=1569-3953		1569-3953		fulltext	Online	De Gruyter	serial								P
Journal of Optical Communications	0173-4911	2191-6322	1980-03-01	1	1	2021-10-20	42	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-6322		2191-6322		fulltext	Online	De Gruyter	serial								P
Journal of Pediatric Endocrinology and Metabolism	0334-018X	2191-0251	1985-01-01	1	1	2021-12-20	34	12	https://www.degruyter.com/openurl?genre=journal&issn=2191-0251		2191-0251		fulltext	Online	De Gruyter	serial								P
Journal of Perinatal Medicine	0300-5577	1619-3997	1973-01-01	1	1	2021-11-20	49	9	https://www.degruyter.com/openurl?genre=journal&issn=1619-3997		1619-3997		fulltext	Online	De Gruyter	serial								P
Journal of Politeness Research	1612-5681	1613-4877	2005-02-23	1	1	2021-07-29	17	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-4877		1613-4877		fulltext	Online	De Gruyter Mouton	serial								P
Journal of Polymer Engineering	0334-6447	2191-0340	1984-01-01	4	1-2	2021-11-15	41	10	https://www.degruyter.com/openurl?genre=journal&issn=2191-0340		2191-0340		fulltext	Online	De Gruyter	serial								P
Journal of Quantitative Analysis in Sports	2194-6388	1559-0410	2005-01-01	1	1	2021-12-30	17	4	https://www.degruyter.com/openurl?genre=journal&issn=1559-0410		1559-0410		fulltext	Online	De Gruyter	serial								P
Journal of South Asian Languages and Linguistics	2196-0771	2196-078X	2014-03-25	1	1	2021-03-20	8	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2196-078X		2196-078X		fulltext	Online	De Gruyter Mouton	serial								P
Journal of the Bible and its Reception	2329-440X	2329-4434	2014-04-30	1	1	2021-10-20	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2329-4434		2329-4434		fulltext	Online	De Gruyter	serial								P
Journal of the International Arthurian Society	2196-9353	2196-9361	2013-10-15	1	1	2021-09-30	9	1	https://www.degruyter.com/openurl?genre=journal&issn=2196-9361		2196-9361		fulltext	Online	Akademie Verlag	serial								P
Journal of the Mechanical Behavior of Materials	0334-8938	2191-0243	1989-06-01	2	1/2	2021-04-20	30	1	https://www.degruyter.com/openurl?genre=journal&issn=2191-0243		2191-0243		fulltext	Online	De Gruyter	serial								F
Journal of Time Series Econometrics	2194-6507	1941-1928	2009-01-01	1	1	2021-07-30	13	2	https://www.degruyter.com/openurl?genre=journal&issn=1941-1928		1941-1928		fulltext	Online	De Gruyter	serial								P
Journal of Tort Law	2194-6515	1932-9148	2006-12-01	1	1	2021-10-20	14	2	https://www.degruyter.com/openurl?genre=journal&issn=1932-9148		1932-9148		fulltext	Online	De Gruyter	serial								P
Journal of Transcultural Medieval Studies	2198-0357	2198-0365	2014-09-15	1	1	2018-11-20	5	2	https://www.degruyter.com/openurl?genre=journal&issn=2198-0365		2198-0365		fulltext	CEASED !	De Gruyter	serial								P
JURA - Juristische Ausbildung	0170-1452	1612-7021	2009-01-01	31	1	2021-11-20	43	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7021		1612-7021		fulltext	Online	De Gruyter	serial								P
Juristische Rundschau	0022-6920	1612-7064	1925-01-01		1	2021-12-19		12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7064		1612-7064		fulltext	Online	De Gruyter	serial								P
Kadmos	0022-7498	1613-0723	1962-01-01	1	1	2021-12-31	60	1-2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0723		1613-0723		fulltext	Online	De Gruyter	serial								P
Kant Yearbook	1868-4599	1868-4602	2009-06-20		1	2021-08-30		13	https://www.degruyter.com/openurl?genre=journal&issn=1868-4602		1868-4602		fulltext	Online	De Gruyter	yearbook								P
Kant-Studien	0022-8877	1613-1134	1897-01-01	1	Jan	2021-12-12	112	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-1134		1613-1134		fulltext	Online	De Gruyter	serial								P
Kierkegaard Studies Yearbook	1430-5372	1612-9792	1996-01-01	1996	1	2021-11-15		26	https://www.degruyter.com/openurl?genre=journal&issn=1612-9792		1612-9792		fulltext	Online	De Gruyter	yearbook								P
Klio	0075-6334	2192-7669	1901-06-20		1	2021-11-28	103	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-7669		2192-7669		fulltext	Online	De Gruyter (A)	serial								P
Kölner Schrift zum Wirtschaftsrecht	1869-3679	2194-4199	2010-01-15	1	1	2017-07-15	8	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2194-4199		2194-4199		fulltext	CEASED !	Verlag Dr. Otto Schmidt	serial								P
Kritikon Litterarum	0340-9767	1865-7249	2007-07-23	34	1/2	2021-11-28	48	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-7249		1865-7249		fulltext	Online	De Gruyter	serial								P
Laboratory Phonology	1868-6346	1868-6354	2010-08-25	1	1	2015-08-29	6	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1868-6354		1868-6354		fulltext	CEASED !	De Gruyter Mouton	serial								P
Language and Cognition	1866-9808	1866-9859	2009-05-19	1	1	2013-11-18	5	4	https://www.degruyter.com/openurl?genre=journal&issn=1866-9859		1866-9859		fulltext	CEASED !	De Gruyter Mouton	serial								P
Language Learning in Higher Education	2191-611X	2191-6128	2011-09-15	1	1	2021-10-30	11	2	https://www.degruyter.com/openurl?genre=journal&issn=2191-6128		2191-6128		fulltext	Online	De Gruyter Mouton	serial								P
Law & Ethics of Human Rights	2194-6531	1938-2545	2007-01-01	1	1	2021-11-20	15	2	https://www.degruyter.com/openurl?genre=journal&issn=1938-2545		1938-2545		fulltext	Online	De Gruyter	serial								P
Law and Development Review	2194-6523	1943-3867	2008-01-01	1	1	2021-06-20	14	2	https://www.degruyter.com/openurl?genre=journal&issn=1943-3867		1943-3867		fulltext	Online	De Gruyter	serial								P
Lebende Sprachen	0023-9909	1868-0267	1956-01-01	1	1	2021-10-28	66	2	https://www.degruyter.com/openurl?genre=journal&issn=1868-0267		1868-0267		fulltext	Online	De Gruyter	serial								P
Lexicographica	0175-6206	1865-9403	1985-01-01		1	2021-11-15		37	https://www.degruyter.com/openurl?genre=journal&issn=1865-9403		1865-9403		fulltext	Online	De Gruyter	yearbook								P
L'Homme	1016-362x	2194-5071	1990-01-01	1	1	2015-12-01	26	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-5071		2194-5071		fulltext	CEASED !	Böhlau Verlag	serial								P
Libri	0024-2667	1865-8423	1950-01-01	1	1	2021-12-20	71	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8423		1865-8423		fulltext	Online	De Gruyter Saur	serial								F
Linguistic Typology 	1430-0532	1613-415X	1997-01-01	1	1	2021-10-15	25	3	https://www.degruyter.com/openurl?genre=journal&issn=1613-415X		1613-415X		fulltext	Online	De Gruyter Mouton	serial								F
Linguistics	0024-3949	1613-396X	1963-01-01	1	1	2021-11-29	59	6	https://www.degruyter.com/openurl?genre=journal&issn=1613-396X		1613-396X		fulltext	Online	De Gruyter Mouton	serial								F
Lodz Papers in Pragmatics 	1895-6106	1898-4436	2007-06-20	3	1	2021-07-20	17	1-2	https://www.degruyter.com/openurl?genre=journal&issn=1898-4436		1898-4436		fulltext	Online	De Gruyter Mouton	serial								P
Main Group Metal Chemistry	0792-1241	2191-0219	1994-05-01	17	1-4	2021-04-20	44	1	https://www.degruyter.com/openurl?genre=journal&issn=2191-0219		2191-0219		fulltext	Online	De Gruyter	serial								F
Mammalia	0025-1461	1864-1547	1936-01-01	1	1	2021-11-20	85	6	https://www.degruyter.com/openurl?genre=journal&issn=1864-1547		1864-1547		fulltext	Online	De Gruyter	serial								P
Man and the Economy	2196-9639	2196-9647	2014-07-30	1	1	2021-12-15	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-9647		2196-9647		fulltext	Online	De Gruyter	serial								P
Mathematical Economics Letters	2195-4615	2195-4623	2013-03-20	1	1	2014-09-20	2	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2195-4623		2195-4623		fulltext	CEASED !	De Gruyter	serial								P
Metaphysica	1437-2053	1874-6373	2014-04-15	15	1	2021-09-15	22	2	https://www.degruyter.com/openurl?genre=journal&issn=1874-6373		1874-6373		fulltext	Online	De Gruyter	serial								P
Microform & Digitization Review	2190-0752	2190-541X	1972-01-01	1	1	2012-12-10	41	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2190-541X		2190-541X		fulltext	CEASED !	De Gruyter	serial								P
Militärgeschichtliche Zeitschrift	2193-2336	2196-6850	1967-06-15	1-2	1	2021-10-20	80	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6850		2196-6850		fulltext	Online	Oldenbourg Wissenschaftsverlag	serial								P
Millennium	1867-030X	1867-0318	2004-01-01	1	1	2021-11-15		18	https://www.degruyter.com/openurl?genre=journal&issn=1867-0318		1867-0318		fulltext	Online	De Gruyter	yearbook								P
Mitteilungen der Deutschen Mathematiker-Vereinigung	0947-4471	0942-5977	1993-03-15	1	1	2021-12-15	29	4	https://www.degruyter.com/openurl?genre=journal&issn=0942-5977		0942-5977		fulltext	Online	De Gruyter	serial								P
Monatsschrift für Deutsches Recht	0340-1812	2194-4202	2005-01-05	59	1	2021-12-27	75	24	https://www.degruyter.com/openurl?genre=journal&issn=2194-4202		2194-4202		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Monte Carlo Methods and Applications	0929-9629	1569-3961	1995-01-01	1	1	2021-12-15	27	4	https://www.degruyter.com/openurl?genre=journal&issn=1569-3961		1569-3961		fulltext	Online	De Gruyter	serial								P
Moral Philosophy and Politics	2194-5616	2194-5624	2014-04-15	1	1	2021-10-15	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-5624		2194-5624		fulltext	Online	De Gruyter	serial								P
Multicultural Learning and Teaching	2194-654X	2161-2412	2006-01-01	1	1	2021-09-20	16	2	https://www.degruyter.com/openurl?genre=journal&issn=2161-2412		2161-2412		fulltext	Online	De Gruyter	serial								P
Multilingua	0167-8507	1613-3684	1982-01-01	1	1	2021-11-20	40	6	https://www.degruyter.com/openurl?genre=journal&issn=1613-3684		1613-3684		fulltext	Online	De Gruyter Mouton	serial								P
Multimodal Communication	2230-6579	2230-6587	2012-01-20	1	1	2021-12-20	10	3	https://www.degruyter.com/openurl?genre=journal&issn=2230-6587		2230-6587		fulltext	Online	De Gruyter Mouton	serial								P
Muslim World Journal of Human Rights	2194-6558	1554-4419	2004-01-01	1	1	2021-09-20	18	1	https://www.degruyter.com/openurl?genre=journal&issn=1554-4419		1554-4419		fulltext	Online	De Gruyter	serial								P
Naharaim	1862-9148	1862-9156	2007-05-20	1	1	2021-12-20	15	2	https://www.degruyter.com/openurl?genre=journal&issn=1862-9156		1862-9156		fulltext	Online	De Gruyter	serial								P
Nanotechnology Reviews	2191-9089	2191-9097	2012-01-20	1	1	2021-12-20	10	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-9097		2191-9097		fulltext	Online	De Gruyter	serial								F
Neue Zeitschrift für Systematische Theologie und Religionsphilosophie	0028-3517	1612-9520	1959-01-01	1	1	2021-11-22	63	4	https://www.degruyter.com/openurl?genre=journal&issn=1612-9520		1612-9520		fulltext	Online	De Gruyter	serial								P
New Global Studies	2194-6566	1940-0004	2007-01-01	1	1	2021-08-20	15	2-3	https://www.degruyter.com/openurl?genre=journal&issn=1940-0004		1940-0004		fulltext	Online	De Gruyter	serial								P
Nietzscheforschung	1869-5604	2191-9259	1994-06-15		1	2021-06-15		28	https://www.degruyter.com/openurl?genre=journal&issn=2191-9259		2191-9259		fulltext	Online	De Gruyter (A)	yearbook								P
Nietzsche-Studien	0342-1422	1613-0790	1972-01-01		1	2021-11-15		50	https://www.degruyter.com/openurl?genre=journal&issn=1613-0790		1613-0790		fulltext	Online	De Gruyter	yearbook								F
Nonlinear Engineering	2192-8010	2192-8029	2012-03-20	1	1-2	2021-04-20	10	1	https://www.degruyter.com/openurl?genre=journal&issn=2192-8029		2192-8029		fulltext	Online	De Gruyter	serial								F
Nonprofit Policy Forum	2194-6035	2154-3348	2010-01-01	1	1	2021-12-20	12	4	https://www.degruyter.com/openurl?genre=journal&issn=2154-3348		2154-3348		fulltext	Online	De Gruyter	serial								F
Orientalistische Literaturzeitung	0030-5383	2196-6877	1898-06-20		1	2021-12-15	116	6	https://www.degruyter.com/openurl?genre=journal&issn=2196-6877		2196-6877		fulltext	Online	De Gruyter (A)	serial								P
Österreichische Musikzeitschrift	0029-9316	2307-2970	1946-01-15	1	1	2015-11-22	70	6	https://www.degruyter.com/openurl?genre=journal&issn=2307-2970		2307-2970		fulltext	CEASED !	Böhlau Verlag	serial								P
Paragrana	0938-0116	2196-6885	2008-06-15	17	1	2021-10-30	30	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6885		2196-6885		fulltext	Online	De Gruyter (A)	serial								P
Peace Economics, Peace Science and Public Policy	1079-2457	1554-8597	1993-01-01	1	1	2021-12-20	27	4	https://www.degruyter.com/openurl?genre=journal&issn=1554-8597		1554-8597		fulltext	Online	De Gruyter	serial								P
Perspektiven der Wirtschaftspolitik	1465-6493	1468-2516	2000-02-20	1	1	2021-11-20	22	4	https://www.degruyter.com/openurl?genre=journal&issn=1468-2516		1468-2516		fulltext	Online	De Gruyter	serial								P
Philologus	0031-7985	2196-7008	1846-06-20		1	2021-11-28	165	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-7008		2196-7008		fulltext	Online	De Gruyter (A)	serial								P
Photonics & Lasers in Medicine	2193-0635	2193-0643	2012-02-28	1	1	2016-11-28	5	4	https://www.degruyter.com/openurl?genre=journal&issn=2193-0643		2193-0643		fulltext	CEASED !	De Gruyter	serial								P
PIK - Praxis der Informationsverarbeitung und Kommunikation	0930-5157	1865-8342	1978-01-01	1	1	2016-09-20	39	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8342		1865-8342		fulltext	CEASED !	De Gruyter	serial								P
Pólemos	2035-5262	2036-4601	2012-07-15	6	1	2021-09-20	15	2	https://www.degruyter.com/openurl?genre=journal&issn=2036-4601		2036-4601		fulltext	Online	De Gruyter	serial								P
POP. Kultur und Kritik	2194-6981	2198-0322	2012-09-30	1	1	2021-09-30	10	2	https://www.degruyter.com/openurl?genre=journal&issn=2198-0322		2198-0322		fulltext	Online	transcript Verlag	serial								P
Poznan Studies in Contemporary Linguistics	0137-2459	1897-7499	2007-06-20	43	1	2021-11-15	57	4	https://www.degruyter.com/openurl?genre=journal&issn=1897-7499		1897-7499		fulltext	Online	De Gruyter Mouton	serial								P
Praehistorische Zeitschrift 	0079-4848	1613-0804	1909-01-01	1	Jan	2021-12-15	96	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0804		1613-0804		fulltext	Online	De Gruyter	serial								P
Praktische Theologie	0946-3518	2198-0462	1966-03-15	1	1	2021-11-11	56	4	https://www.degruyter.com/openurl?genre=journal&issn=2198-0462		2198-0462		fulltext	Online	Gütersloher Verlagshaus	serial								P
Preservation, Digital Technology & Culture (PDT&C)	2195-2957	2195-2965	2013-03-26	42	1	2021-12-20	50	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2195-2965		2195-2965		fulltext	Online	De Gruyter Saur	serial								F
Probus	0921-4771	1613-4079	1989-01-01	1	1	2021-09-26	33	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-4079		1613-4079		fulltext	Online	De Gruyter Mouton	serial								P
Pteridines	0933-4807	2195-4720	1989-04-20	1	1	2021-05-20	32	1	https://www.degruyter.com/openurl?genre=journal&issn=2195-4720		2195-4720		fulltext	Online	De Gruyter	serial								F
Public Health Forum	0944-5587	1876-4851	1993-07-20	1	1	2021-12-20	29	4	https://www.degruyter.com/openurl?genre=journal&issn=1876-4851		1876-4851		fulltext	Online	De Gruyter	serial								P
Pure and Applied Chemistry	0033-4545	1365-3075	1960-04-20	1	1	2021-12-20	93	12	https://www.degruyter.com/openurl?genre=journal&issn=1365-3075		1365-3075		fulltext	Online	De Gruyter	serial								P
Quellen und Forschungen aus italienischen Archiven und Bibliotheken	0079-9068	1865-8865	2008-01-01	88	1	2021-11-20		101	https://www.degruyter.com/openurl?genre=journal&issn=1865-8865		1865-8865		fulltext	Online	De Gruyter	yearbook								F
Radiochimica Acta	0033-8230	2193-3405	1962-06-20		1/1	2021-12-15	109	12	https://www.degruyter.com/openurl?genre=journal&issn=2193-3405		2193-3405		fulltext	Online	De Gruyter (O)	serial								P
Random Operators and Stochastic Equations	0926-6364	1569-397X	1993-01-01	1	1	2021-12-19	29	4	https://www.degruyter.com/openurl?genre=journal&issn=1569-397X		1569-397X		fulltext	Online	De Gruyter	serial								P
ReiseRecht aktuell	0944-7490	2193-9535	1993-10-24	1	10	2021-12-15	29	6	https://www.degruyter.com/openurl?genre=journal&issn=2193-9535		2193-9535		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Restaurator. International Journal for the Preservation of Library and Archival Material	0034-5806	1865-8431	1970-01-01	1	1	2021-12-20	42	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8431		1865-8431		fulltext	Online	De Gruyter	serial								P
Restoration of Buildings and Monuments	1864-7251	1864-7022	1995-02-01	1	1	2020-12-20	26	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-7022		1864-7022		fulltext	CEASED !	Birkhäuser	serial								P
Review of Law & Economics	2194-6000	1555-5879	2005-04-01	1	1	2021-11-20	17	3	https://www.degruyter.com/openurl?genre=journal&issn=1555-5879		1555-5879		fulltext	Online	De Gruyter	serial								P
Review of Marketing Science	2194-5985	1546-5616	2003-01-01	1	1	2021-09-20	19	1	https://www.degruyter.com/openurl?genre=journal&issn=1546-5616		1546-5616		fulltext	Online	De Gruyter	serial								P
