First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Division of Infectious Diseases, University Hospital Basel, St. Gallen, Switzerland E-mail: mbattegay@uhbs.ch",Manuel Battegay,unisg,10.1086/383069,https://doi.org/10.1086/383069,./cid/cid38-8/abstracts/38-8-1175.xml,Sexual Risk Behavior in HIV-Infected Injection Drug Users,,,2004,Clinical Infectious Diseases,,The University of Chicago Press,,38,8,1175,1177,1058-4838,1537-6591,copyright,© 2004 by the Infectious Diseases Society of America,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086383069,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086383069&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086383069&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086383069&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University and Cantonal Hospitals of St. Gallen, Switzerland",Thomas Wagels,unisg,10.1086/383037,https://doi.org/10.1086/383037,./cid/cid38-8/abstracts/38-8-1178.xml,Pulmonary Arterial Hypertension Related to HIV Infection: Improved Hemodynamics and Survival Associated with Antiretroviral Therapy,,,2004,Clinical Infectious Diseases,,The University of Chicago Press,,38,8,1178,1185,1058-4838,1537-6591,copyright,© 2004 by the Infectious Diseases Society of America,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086383037,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086383037&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086383037&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086383037&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University Hospital Basel, Department of Anaesthesia, Surgical Intensive Care, Prehospital Emergency Medicine and Pain Therapy, Division of Cardiac Surgery, CH-4031 Basel, Institute of Anesthesiology, St Gallen, Institute of Anesthesiology, Biel-Bienne, Switzerland, Switzerland, Switzerland",J. P. Thompson,unisg,10.1093/bja/aeu364,https://doi.org/10.1093/bja/aeu364,./BJAINT/bjaint114-2/abstracts/aeu364.xml,Perioperative administration of fibrinogen does not increase adverse cardiac and thromboembolic events after cardiac surgery,,,2015,British Journal of Anaesthesia,,Oxford University Press,2018-02-01,114,2,225,234,0007-0912,1471-6771,copyright,"© The Author 2014. Published by Oxford University Press on behalf of the British Journal of Anaesthesia. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093bjaaeu364,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaeu364&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaeu364&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaeu364&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Anaesthesiology, University Hospital of Bern, Switzerland*Corresponding author Department of Anaesthesiology, St Gallen Cantonal Hospital, Rorschacherstrasse 95, CH‐9007 St Gallen, Switzerland.",K. Flückiger,unisg,10.1093/bja/aef277,https://doi.org/10.1093/bja/aef277,./BJAINT/bjaint89-6/abstracts/aef277.xml,Patient satisfaction with anaesthesia care: development of a psychometric questionnaire and benchmarking among six hospitals in Switzerland and Austria†‡,,,2002,British Journal of Anaesthesia,,Oxford University Press,,89,6,863,872,0007-0912,1471-6771,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093bjaaef277,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaef277&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaef277&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaef277&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institut für Politikwissenschaft, Universität St. Gallen, Dufourstrasse 45, 9000 St. Gallen, Switzerland e‐mail: simon.hug@unisg.ch",Simon Hug,unisg,10.1093/pan/mpg014,https://doi.org/10.1093/pan/mpg014,./polana.tar.gz/polana/abstracts/mpg014.xml,Selection Bias in Comparative Research: The Case of Incomplete Data Sets,,,2003,Political Analysis,,Oxford University Press,,11,3,255,274,1047-1987,1476-4989,copyright,Copyright Political Methodology Section of the American Political Science Association 2003,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093panmpg014,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093panmpg014&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093panmpg014&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093panmpg014&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1Clinic of Anaesthesiology, SRH Wald-Klinikum Gera GmbH, Straße des Friedens 122, 07548 Gera, Germany 2Department of Anaesthesiology, Klinikum Großhadern and 3Institute of Medical Informatics, Biometry and Epidemiology, University of Munich, Marchioninistraβe 15, 81377 Munich, Germany 4Department of Infectious Diseases, Northwick Park Hospital, Harrow, UK 5Kantonsspital St Gallen/Ostschweizer Kinderspital, Rorschacher Strasse 95, 9007 St Gallen, Switzerland",A. R. Absalom,unisg,10.1093/bja/aet002,https://doi.org/10.1093/bja/aet002,./BJAINT/bjaint110-6/abstracts/aet002.xml,Impact of propofol on mid-latency auditory-evoked potentials in children†,,,2013,British Journal of Anaesthesia,,Oxford University Press,,110,6,1001,1009,0007-0912,1471-6771,copyright,"© The Author [2013]. Published by Oxford University Press on behalf of the British Journal of Anaesthesia. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093bjaaet002,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaet002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaet002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaet002&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of St. Gallen, Guisanstr. 92, 9010 St. Gallen, Switzerland",H Prey,unisg,10.1093/oep/52.3.497,https://doi.org/10.1093/oep/52.3.497,./OEP/oep52-3/abstracts/520497.xml,Evaluating public sector sponsored training in East Germany,,,2000,Oxford Economic Papers,,Oxford University Press,,52,3,497,520,0030-7653,1464-3812,copyright,Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oep523497,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oep523497&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oep523497&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oep523497&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of St. Gallen,Monika Bütler,unisg,10.1017/S1474747208003934,https://doi.org/10.1017/S1474747208003934,./PEF/PEF8_03/S1474747208003934h.xml,Book Review: Social Security Programs and Retirement around the World: Fiscal Implications of Reform,"Social Security Programs and Retirement around the World: Fiscal Implications of Reform. GruberJonathan and WiseDavid A. eds. The University of Chicago Press, 2007, ISBN 978-0-226-31017-6, 392 pages.",,2009,Journal of Pension Economics and Finance,,Cambridge University Press,,8,3,400,401,1474-7472,1475-3022,copyright,Copyright © 2009 Cambridge University Press,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S1474747208003934,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747208003934&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747208003934&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747208003934&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institiute of Public Finance and Fiscal Law, University of St. Gallen, Varnbüelstrasse 19, CH-9000 St. Gallen (e-mail: christian.jaag@unisg.ch) E-mail: christian.jaag@unisg.ch",CHRISTIAN JAAG,unisg,10.1017/S1474747207002983,https://doi.org/10.1017/S1474747207002983,./PEF/PEF8_02/S1474747207002983h.xml,"Education, demographics, and the economy",,,2009,Journal of Pension Economics and Finance,,Cambridge University Press,,8,2,189,223,1474-7472,1475-3022,copyright,Copyright © 2007 Cambridge University Press,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S1474747207002983,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747207002983&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747207002983&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747207002983&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of St. Gallen, Swiss Institute of Banking and Finance, Rosenbergstrasse 52, 9000 St. Gallen, Switzerland (e-mail: manuel.ammann@unisg.ch, andreas.zingg@unisg.ch) E-mail: manuel.ammann@unisg.ch",MANUEL AMMANN,unisg,10.1017/S1474747208003788,https://doi.org/10.1017/S1474747208003788,./PEF/PEF9_01/S1474747208003788h.xml,Performance and governance of Swiss pension funds,,,2010,Journal of Pension Economics and Finance,,Cambridge University Press,,9,1,95,128,1474-7472,1475-3022,copyright,Copyright © 2008 Cambridge University Press,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S1474747208003788,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747208003788&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747208003788&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1474747208003788&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
Universities of Basel and St. Gallen,Hans Bernhard Schmid,unisg,10.1017/S0266267110000209,https://doi.org/10.1017/S0266267110000209,./EAP/EAP26_02/S0266267110000209h.xml,PHILOSOPHICAL EGOISM: ITS NATURE AND LIMITATIONS,,,2010,Economics and Philosophy,,Cambridge University Press,,26,2,217,240,0266-2671,1474-0028,copyright,Copyright © Cambridge University Press 2010,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0266267110000209,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0266267110000209&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0266267110000209&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0266267110000209&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1 Universität St. Gallen, Kulturwissenschaftliche Abteilung, St. Gallen, Schweiz  Universität St. Gallen, Kulturwissenschaftliche Abteilung, St. Gallen, Schweiz",Olivia Mitscherlich,unisg,10.1524/dzph.2008.0064,https://doi.org/10.1524/dzph.2008.0064,./j/dzph.2008.56.issue-5/dzph.2008.0064/dzph.2008.0064.xml,Wozu Philosophische Anthropologie?,,,2008,Deutsche Zeitschrift für Philosophie,,Akademie Verlag GmbH,,56,5,812,818,0012-1045,,copyright,"© by Akademie Verlag, Berlin, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524dzph20080064,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524dzph20080064&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524dzph20080064&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524dzph20080064&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Swiss Federal Laboratories of Material Testing and Research (EMPA), Wood Laboratory, St. Gallen, Switzerland and Professur für Forstbotanik, Albert-Ludwigs-Universität Freiburg, Freiburg i. Brsg., Germany",Francis W.M.R. Schwarze,unisg,10.1515/HF.2008.029,https://doi.org/10.1515/HF.2008.029,./j/hfsg.2008.62.issue-3/hf.2008.029/hf.2008.029.xml,Degradation of thermo-hygro-mechanically (THM)-densified wood by soft-rot fungi,,,2008,Holzforschung,,Walter de Gruyter,,62,3,277,283,0018-3830,1437434X,copyright,©2008 by Walter de Gruyter Berlin New York,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515HF2008029,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515HF2008029&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515HF2008029&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515HF2008029&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of Zurich, University of St. Gallen, and ENCORE, stefan.buehler@unisg.ch E-mail: stefan.buehler@unisg.ch",Stefan Buehler,unisg,10.2202/1538-0645.1444,https://doi.org/10.2202/1538-0645.1444,./j/bejeap.2004.4.issue-1/bejeap.2005.4.1.1444/bejeap.2005.4.1.1444.xml,Competition Policy and Exit Rates: Evidence from Switzerland,,,2005,Contributions in Economic Analysis & Policy,,De Gruyter,,4,1,,,,1538-0645,copyright,"©2011 Walter de Gruyter GmbH & Co. KG, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter102202153806451444,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202153806451444&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202153806451444&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202153806451444&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"School of Humanities and Social Sciences (SHSS-HSG), Centro Latinoamericano-Suizo de la Universidad de San Gallen (CLS-HSG), Universität St. Gallen, Gatterstrasse 1, CH-9010 St.Gallen E-mail: yvette.sanchez@unisg.ch",Yvette Sánchez,unisg,10.1515/ibero-2014-0015,https://doi.org/10.1515/ibero-2014-0015,./j/iber.2014.79.issue-1/ibero-2014-0015/ibero-2014-0015.xml,Actualizando la investigación de Gustav Siebenmann,,,2014,Iberoromania,,De Gruyter Mouton,,79,1,137,138,0019-0993,1865-9039,copyright,"© 2014 Walter de Gruyter GmbH, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ibero20140015,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ibero20140015&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ibero20140015&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ibero20140015&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of St. Gallen and CEPR,Simon J Evenett,unisg,10.2202/1469-3569.1287,https://doi.org/10.2202/1469-3569.1287,./j/bap.2009.11.3/bap.2009.11.3.1287/bap.2009.11.3.1287.xml,What Can Be Learned From Crisis-Era Protectionism? An Initial Assessment,,,2009,Business and Politics,,De Gruyter,,11,3,,,,1469-3569,copyright,"©2011 Walter de Gruyter GmbH & Co. KG, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter102202146935691287,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202146935691287&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202146935691287&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202146935691287&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of Zurich and University of St. Gallen, stefan.buehler@unisg.ch E-mail: stefan.buehler@unisg.ch",Stefan Buehler,unisg,10.2202/1534-5963.1164,https://doi.org/10.2202/1534-5963.1164,./j/bejte.2005.5.1/bejte.2005.5.1.1164/bejte.2005.5.1.1164.xml,Asymmetric Vertical Integration,,,2005,Advances in Theoretical Economics,,De Gruyter,,5,1,,,,1534-5963,copyright,"©2011 Walter de Gruyter GmbH & Co. KG, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter102202153459631164,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202153459631164&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202153459631164&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202153459631164&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
